policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
champion,same_xx+cross_xy,64,64,48,0,71.37103785418013,0.106711395912928,1.2991817327836699,0.8081782705243427,42.75359177913814,28.52988722110457,3498.03125,93.78421875000001,1600,1141,1225,1273,1370,600219,640000,93.78421875
candidate,same_xx+cross_xy,64,64,52,0,72.1357252780647,0.08989767225106071,1.1991935044267994,0.7824020523758972,42.62062764665391,29.26872832978164,4919.34375,94.30796875,1600,1152,1252,1294,1403,603571,640000,94.30796875
