policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
champion,same_xx,32,32,24,0,71.35343898601639,0.10718029648534752,1.297703667252087,0.8083756683296645,42.75007370503715,28.402860586619077,3505.71875,93.77343750000001,800,570,613,635,684,300075,320000,93.7734375
champion,cross_xy,32,32,24,0,71.38863672234382,0.10624249534050843,1.3006597983152526,0.8079808727190212,42.757109853239136,28.656913855590066,3490.34375,93.79499999999999,800,571,612,638,686,300144,320000,93.795
candidate,same_xx,32,32,26,0,72.1154991098997,0.09035356704841864,1.2001457375140012,0.7828402686050103,42.61906106848987,29.227923417200966,4922.15625,94.294375,800,576,625,645,701,301742,320000,94.294375
candidate,cross_xy,32,32,26,0,72.1559514462297,0.0894417774537027,1.1982412713395978,0.7819638361467838,42.62219422481796,29.309533242362324,4916.53125,94.32156250000001,800,576,627,649,702,301829,320000,94.3215625
