policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct,surface_profile
champion,same_xx+cross_xy,16,16,4,0,64.62097405366825,0.12134945892201757,1.8874736383923076,1.4120474275978667,42.720564635462985,29.57883211787957,4841.1875,83.67374999999998,400,142,185,210,255,133878,160000,83.67375,legacy_stress
champion,same_xx+cross_xy,16,16,16,0,75.17174433484283,0.0880991218987307,0.7646449878648255,0.14261834474826846,42.79643833887686,26.240920838907037,2685.875,98.540625,400,363,372,376,386,157665,160000,98.540625,factory_prepolish
champion,same_xx+cross_xy,16,16,14,0,73.08580933723937,0.1070742312353242,1.1168048538718436,0.6318070804926292,42.74833390320093,29.142612578738916,3228.6875,96.511875,400,320,334,345,366,154419,160000,96.511875,factory_prepolish_deep_defect
champion,same_xx+cross_xy,16,16,14,0,72.60562369096994,0.1103227715956395,1.4278034510057027,1.0462402292586068,42.749030239011795,29.157183348892755,3236.375,96.410625,400,316,334,342,363,154257,160000,96.410625,factory_prepolish_deep_stress
candidate,same_xx+cross_xy,16,16,4,0,65.32412042965372,0.10548856838477684,1.8092004705827964,1.3942966148720886,42.640344578603894,29.60915177397936,5710.4375,84.4125,400,146,198,221,261,135060,160000,84.4125,legacy_stress
candidate,same_xx+cross_xy,16,16,16,0,75.79036398953362,0.07717875436330585,0.7029625258261317,0.11166724227261167,42.62549790422495,28.83031397460297,4454.25,98.97437499999998,400,366,376,379,394,158359,160000,98.974375,factory_prepolish
candidate,same_xx+cross_xy,16,16,16,0,73.9159407191943,0.08746731650822594,0.987002835489628,0.6029735089775239,42.60754893687743,29.315452520098358,4748.125,96.99875000000002,400,322,340,349,374,155198,160000,96.99875,factory_prepolish_deep_defect
candidate,same_xx+cross_xy,16,16,16,0,73.5124759738772,0.08945604974793409,1.2976081858086408,1.0206708433813638,42.609119166909366,29.3199950504459,4764.5625,96.84625000000001,400,318,338,345,374,154954,160000,96.84625,factory_prepolish_deep_stress
