epoch,train_mse,validation_mse,validation_mae
0,0.021439096844508367,0.00508731696754694,0.023415204137563705
1,0.003149005442600158,0.003655269043520093,0.017688974738121033
2,0.002957686774518718,0.0031915653962641954,0.015645194798707962
3,0.002865417532163342,0.002962985308840871,0.014972290955483913
4,0.002804454933359702,0.002946304390206933,0.01598030887544155
5,0.0027638112709707733,0.002850067103281617,0.014408263377845287
6,0.0027247560081802083,0.002831799676641822,0.014404375106096268
7,0.002692854861912237,0.0028192084282636642,0.014491219073534012
8,0.002662707582544707,0.0027938014827668667,0.014505883678793907
9,0.0026269554503917923,0.0027575939893722534,0.013835662044584751
10,0.0025967100668514574,0.002824417082592845,0.015630755573511124
11,0.0025623159972308104,0.0027738730423152447,0.014981790445744991
12,0.0025272805586904834,0.0027664408553391695,0.014612603932619095
13,0.0024891823030679487,0.002773023908957839,0.015496899373829365
14,0.0024479739238076315,0.002824001479893923,0.017361458390951157
15,0.00240887762233937,0.0026803237851709127,0.014580768533051014
16,0.00236904473988055,0.002792352344840765,0.016737597063183784
17,0.002318080817131544,0.0028390127699822187,0.017725680023431778
18,0.0022659500797899803,0.002740310737863183,0.016508257016539574
19,0.0022110845677312404,0.002527770819142461,0.014421025291085243
20,0.002132489031893053,0.002495979191735387,0.014303185045719147
21,0.0020471997887199383,0.0024547548964619637,0.015067551285028458
22,0.0019570627607135875,0.00239691324532032,0.014959021471440792
23,0.0018448153471645953,0.0022379972506314516,0.015196136198937893
24,0.0017200153696756556,0.0021518373396247625,0.014436422847211361
25,0.0015751552667205547,0.0020969596225768328,0.01539572048932314
26,0.0014293057025405195,0.0019705533050000668,0.014142896048724651
27,0.0012896060341613456,0.0017264226917177439,0.01349520031362772
28,0.001142394400061213,0.0015498257707804441,0.011888539418578148
29,0.001015153915928515,0.001526742009446025,0.012967965565621853
30,0.0008818161197605462,0.001421516528353095,0.013715460896492004
31,0.0007684448792882049,0.0012561940820887685,0.012566610239446163
32,0.0006647631514426823,0.0011016445932909846,0.011403909884393215
33,0.0005869724545197137,0.0010701376013457775,0.010517746210098267
34,0.0005272092904383028,0.0009426099131815135,0.0150246387347579
35,0.0004952646467533497,0.0008608897915109992,0.010595201514661312
36,0.00043119095097332545,0.0007850273395888507,0.008871111087501049
37,0.0004135837532824136,0.0007591736502945423,0.009157169610261917
38,0.00039640572305957295,0.0007242609281092882,0.010847330093383789
39,0.00035443914018909965,0.0007115296903066337,0.008272778242826462
