observation_mode,observation_dim,split,n,mse,mae,force_mse,feed_mse,force_mae,feed_mae
base14,14,train,232498,0.0003026490448974073,0.003978644497692585,0.00025108063709922135,0.0003542174817994237,0.0036853081546723843,0.00427198177203536
base14,14,validation,50745,0.0007115296903066337,0.008272778242826462,0.0005947601166553795,0.0008282992639578879,0.007617911323904991,0.008927645161747932
base14,14,test,52459,0.0005434753838926554,0.005957474000751972,0.000451368629001081,0.0006355821969918907,0.005514408927410841,0.006400538142770529
