teacher,direction_mode,env,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction,surface_profile,profile_seed,design_status,base_ra_target_um,shallow_scratch_count,deep_scratch_count,sampled_shallow_depth_max_um,sampled_deep_depth_um,legacy_segment_count_unavailable,profile_gu_mean,profile_gu_p10,profile_gu_min
champion_then_finish,same_xx,0,0.12286249262664405,2.2590314083285423,0.10934559584552642,2.1957891931690074,0.01351689678111763,0.06324221515953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034899160994631466,1.7910623913231167,40.962792216791584,0.01,0.2,legacy_stress,42,ESTABLISHED_GATE_B_GENERATOR_UNCHANGED,0.08,-1,-1,1.9581922659686788,0.0,True,58.45068533336144,36.0787270899419,25.514339513460097
champion_then_finish,same_xx,1,0.1195962482121044,2.1787803824238767,0.10640817152927028,2.002529904687828,0.01318807668283413,0.17625047773604852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039300428901633884,1.7968413275087611,42.15756630124656,0.01,0.2,legacy_stress,139,ESTABLISHED_GATE_B_GENERATOR_UNCHANGED,0.08,-1,-1,1.8796284156409149,0.0,True,46.88943773733738,25.52410079117949,25.39260054165678
champion_then_finish,same_xx,2,0.11572313324659472,2.19041165600761,0.10238689967591968,2.0236423123727634,0.013336233570675038,0.16676934363484675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031398517186734184,1.7596479951666288,42.01960387997535,0.01,0.2,legacy_stress,236,ESTABLISHED_GATE_B_GENERATOR_UNCHANGED,0.08,-1,-1,1.953026745941298,0.0,True,60.166522239546815,39.065965292759046,35.51397133883268
champion_then_finish,same_xx,3,0.1209934166148134,2.1977553077751204,0.10471020484996099,2.047327221983966,0.01628321176485241,0.1504280857911544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03596401596783148,1.8706974430159646,41.954125528041835,0.01,0.2,legacy_stress,333,ESTABLISHED_GATE_B_GENERATOR_UNCHANGED,0.08,-1,-1,1.9406832871222455,0.0,True,54.07803156372734,35.70928057256303,25.53
champion_then_finish,same_xx,4,0.10689556660956501,0.804469017878618,0.08617066466694093,0.6856017509921666,0.02072490194262408,0.11886726688645144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43663227061475,0.01,0.2,factory_prepolish,42,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10689556660956501,0,0,0.0,0.0,False,75.3912296120912,73.2925763073885,72.23433856168398
champion_then_finish,same_xx,5,0.10243811924636098,0.9314749788546506,0.0822353297802111,0.818689788034032,0.02020278946614988,0.11278519082061855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021724957035899215,0.5204314006785608,42.48428708420957,0.01,0.2,factory_prepolish,139,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10050222781682253,2,0,0.5777967547814563,0.0,False,69.98941302667497,50.72320327764896,25.4910215173442
champion_then_finish,same_xx,6,0.12253720026101132,1.0873902313400208,0.0980343990482501,0.9443896067293268,0.024502801212761216,0.14300062461069396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002659199877488858,0.5306411210783062,42.89092241333334,0.01,0.2,factory_prepolish,236,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11910556227842614,2,0,0.49526976942435696,0.0,False,67.50958508642633,37.9813297951197,25.414790136564687
champion_then_finish,same_xx,7,0.1150854155965834,0.9512547161844889,0.09151242954186098,0.78203421337607,0.023572986054722425,0.16922050280841883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048202161807120767,0.5119893071807349,43.252457486047746,0.01,0.2,factory_prepolish,333,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11478646921984856,1,0,0.5559881707255728,0.0,False,73.60900699444439,71.14262059311866,46.52078189018365
champion_then_finish,same_xx,8,0.10914180531128084,0.990255750615746,0.0884276319747033,0.8677712669211531,0.020714173336577546,0.12248448369459286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022239510932133767,0.7013491255563639,42.43663227061475,0.01,0.2,factory_prepolish_deep_defect,42,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10689556660956501,0,1,0.0,0.6894770659405038,False,71.25928820905311,72.59150980682017,25.425216147731017
champion_then_finish,same_xx,9,0.10492553502548299,1.0992632857524285,0.08432432633980938,0.9584610254827891,0.02060120868567361,0.14080226026963938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004311522000809173,0.648089096741403,42.48428708420957,0.01,0.2,factory_prepolish_deep_defect,139,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10050222781682253,2,1,0.5777967547814563,0.6860219963782548,False,66.16032139351948,41.3093487578951,25.4910215173442
