env,sequence,from_pass,to_pass,gu_after_before,gu_after_after,gu_after_delta,ra_after_um_before,ra_after_um_after,ra_after_um_delta,rz_after_um_before,rz_after_um_after,rz_after_um_delta,scratch_after_um_before,scratch_after_um_after,scratch_after_um_delta,clearcoat_after_um_before,clearcoat_after_um_after,clearcoat_after_um_delta,roi_total_ra_um_before,roi_total_ra_um_after,roi_total_ra_um_delta,roi_total_rz_um_before,roi_total_rz_um_after,roi_total_rz_um_delta,roi_fine_ra_um_before,roi_fine_ra_um_after,roi_fine_ra_um_delta,roi_fine_rz_um_before,roi_fine_rz_um_after,roi_fine_rz_um_delta,roi_ra_low_frequency_contribution_um_before,roi_ra_low_frequency_contribution_um_after,roi_ra_low_frequency_contribution_um_delta,roi_rz_low_frequency_contribution_um_before,roi_rz_low_frequency_contribution_um_after,roi_rz_low_frequency_contribution_um_delta,roi_removal_mean_um_before,roi_removal_mean_um_after,roi_removal_mean_um_delta,roi_removal_std_um_before,roi_removal_std_um_after,roi_removal_std_um_delta,roi_removal_cv_before,roi_removal_cv_after,roi_removal_cv_delta,roi_removal_max_min_um_before,roi_removal_max_min_um_after,roi_removal_max_min_um_delta,roi_removal_p95_p05_um_before,roi_removal_p95_p05_um_after,roi_removal_p95_p05_um_delta,roi_removal_waviness_ra_um_before,roi_removal_waviness_ra_um_after,roi_removal_waviness_ra_um_delta,roi_removal_waviness_rz_um_before,roi_removal_waviness_rz_um_after,roi_removal_waviness_rz_um_delta,roi_removal_waviness_std_um_before,roi_removal_waviness_std_um_after,roi_removal_waviness_std_um_delta,roi_removal_fine_std_um_before,roi_removal_fine_std_um_after,roi_removal_fine_std_um_delta,roi_center_edge_delta_um_before,roi_center_edge_delta_um_after,roi_center_edge_delta_um_delta,roi_center_edge_ratio_before,roi_center_edge_ratio_after,roi_center_edge_ratio_delta,roi_under_fraction_before,roi_under_fraction_after,roi_under_fraction_delta,roi_over_fraction_before,roi_over_fraction_after,roi_over_fraction_delta,roi_coverage_fraction_before,roi_coverage_fraction_after,roi_coverage_fraction_delta
0,0,1,2,68.57634936256795,70.1872449313941,1.6108955688261517,0.26482483838026566,0.4885397265120024,0.22371488813173673,2.319127306903699,3.0491868197100347,0.7300595128063359,1.3985408133077932,0.9053051614897605,-0.49323565181803275,41.23259309624178,39.72945563450851,-1.5031374617332673,0.26482483838026566,0.4885397265120024,0.22371488813173673,2.319127306903699,3.0491868197100347,0.7300595128063359,0.04960927820586727,0.04849454113980292,-0.001114737066064346,1.3041495187527163,1.0217598159556607,-0.28238970279705566,0.21521556017439838,0.4400451853721995,0.22482962519780111,1.0149777881509825,2.027427003754374,1.0124492156033915,0.7748545463053068,1.6081686619793378,0.833314115674031,0.2830983433465089,0.6178901401456853,0.3347917967991764,0.36535675591811395,0.38421973686838584,0.01886298095027189,1.3103959982132103,2.816594412322398,1.5061984141091875,0.9263333475709155,2.008803967062989,1.0824706194920737,0.20857127346031293,0.4240898715623374,0.21551859810202448,1.062662517728907,1.8902102251532287,0.8275477074243216,0.25247374737908557,0.5690299711473242,0.31655622376823866,0.08200939239910451,0.12958322279757556,0.047573830398471045,0.383020699522163,0.8601908020071329,0.47717010248496994,1.5918212454706995,1.6486466860044193,0.05682544053371985,0.3028,0.3376,0.0348,0.3322,0.2961,-0.03610000000000002,0.9995,1.0,0.0004999999999999449
1,0,1,2,68.73439367191386,70.62498459479974,1.8905909228858775,0.16150697468396794,0.2086005828096376,0.04709360812566968,1.490253630608346,1.6294613231994561,0.1392076925911101,0.8373481977755091,0.5145600087570021,-0.3227881890185069,40.47369034600049,39.60158977718318,-0.8721005688173094,0.16150697468396794,0.2086005828096376,0.04709360812566968,1.490253630608346,1.6294613231994561,0.1392076925911101,0.045403809796196785,0.039780484573141484,-0.005623325223055302,0.9495622818265897,0.7976671531521802,-0.15189512867440957,0.11610316488777114,0.16882009823649613,0.05271693334872499,0.5406913487817563,0.831794170047276,0.2911028212655197,0.8319590031386659,1.2925471563369892,0.46058815319832336,0.2568535423582624,0.38620576650745664,0.12935222414919423,0.3087334128115104,0.29879433381907977,-0.009939078992430628,1.2268579959332098,1.9933556827267302,0.7664976867935205,0.8288648168347121,1.248943509178944,0.4200786923442319,0.1268500050791782,0.17313087493090126,0.046280869851723055,0.6023254138427512,0.8800682665828672,0.277742852740116,0.22631352415878617,0.35081482066150804,0.12450129650272188,0.08775407687239385,0.11473649153368144,0.02698241466128759,0.16252728271460393,0.23307400157910152,0.07054671886449759,1.2111129801497535,1.1933666335651574,-0.017746346584596173,0.2938,0.2696,-0.0242,0.3083,0.2852,-0.02310000000000001,1.0,1.0,0.0
2,0,1,2,64.77754655235448,67.50399292678193,2.7264463744274536,0.27899707273508983,0.5182863469421299,0.2392892742070401,2.433483973959058,3.171504213866791,0.7380202399077329,1.3188217064854104,0.7982795372114011,-0.5205421692740093,41.55893890878368,40.21186811809034,-1.3470707906933441,0.27899707273508983,0.5182863469421299,0.2392892742070401,2.433483973959058,3.171504213866791,0.7380202399077329,0.06333617892325094,0.05411738548376802,-0.009218793439482918,1.532589396555434,1.1408267873285207,-0.3917626092269133,0.2156608938118389,0.4641689614583619,0.248508067646523,0.9008945774036241,2.0306774265382703,1.1297828491346462,0.8308362652988739,1.7595209640434892,0.9286846987446153,0.305628758024529,0.6616892053895652,0.3560604473650362,0.36785678573453484,0.37606213220043827,0.00820534646590343,1.3285956142636706,2.879184559625219,1.5505889453615485,0.9931217245100799,2.109353373499257,1.116231648989177,0.22620531475961947,0.46059613323420506,0.2343908184745856,1.1260484689503236,2.576869698878431,1.4508212299281074,0.27453753760748145,0.6118571195401319,0.33731958193265044,0.08929213388088804,0.14795188096310832,0.058659747082220284,0.41417244357000904,0.9307299384750614,0.5165574949050523,1.5969612925311587,1.637878065484802,0.040916772953643266,0.2928,0.3223,0.02949999999999997,0.3483,0.3408,-0.007500000000000007,0.995,1.0,0.0050000000000000044
3,0,1,2,62.301965185943715,66.93538619805166,4.633421012107945,0.27051879720662253,0.5288958308057868,0.2583770335991643,2.626268764936352,3.262126497293538,0.6358577323571861,1.3550267294219986,0.7235206911527823,-0.6315060382692164,42.30611561900813,40.61435802585813,-1.691757593150001,0.27051879720662253,0.5288958308057868,0.2583770335991643,2.626268764936352,3.262126497293538,0.6358577323571861,0.06610785494602156,0.0559576165817786,-0.010150238364242961,1.5360688059106322,1.110392818628708,-0.42567598728192424,0.20441094226060097,0.4729382142240082,0.26852727196340725,1.0901999590257199,2.1517336786648302,1.0615337196391104,0.929051396819175,2.0811370622208365,1.1520856654016614,0.30074014653715264,0.6366085763147673,0.33586842977761466,0.3237066835772563,0.3058945938118201,-0.01781208976543619,1.498059057949678,3.2429755334104144,1.7449164754607365,0.963738885637655,2.030350611747762,1.0666117261101071,0.2196428753584054,0.47535010750408563,0.25570723214568025,0.9825696899997828,2.178741487406434,1.196171797406651,0.26297531947854363,0.570663748360487,0.3076884288819434,0.09982427329187522,0.17236273498308397,0.07253846169120874,0.44210492333373785,1.0357409437307155,0.5936360203969776,1.5657139197796797,1.5951970893182654,0.029483169538585763,0.2829,0.266,-0.01689999999999997,0.3122,0.2898,-0.022399999999999975,0.9985,1.0,0.0014999999999999458
