env,sequence,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction
0,0,0.10813603180750939,2.0508664047454666,0.09438404422925838,1.8314321183253073,0.01375198757825101,0.21943428642015927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023655308685985664,1.849941082767495,42.16163845267534,0.01,0.2
1,0,0.11333906699913464,1.5750203651988153,0.0950341496062471,1.4423538765966388,0.018304917392887532,0.13266648860217645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02655012729367793,1.3283395484774752,41.474676211578505,0.01,0.2
2,0,0.12516990560762314,2.1567653229994983,0.11125930634579523,2.076541297679248,0.013910599261827916,0.08022402532025019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04119832836701546,1.7563849683351185,41.80636685313223,0.01,0.2
3,0,0.13506084814416208,2.3916195813637002,0.11966258083948501,2.191789361618371,0.015398267304677069,0.19983021974532944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04509300604391071,1.9169658807309362,42.655658246487704,0.01,0.2
