surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
freeform,cross_xy,factory_prepolish,3,31097,3,3,400,77.99999998630685,0.03118837185600244,0.10511875299044285,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,3,4,400,77.99999998630685,0.03151113604473146,0.10545710033040365,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,4,0,400,77.75434539076802,0.02203067260995863,0.07495747485047394,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,4,1,400,77.76158989471506,0.028540063263688503,0.09473957161455612,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,4,2,400,77.88086166604502,0.03135544126367612,0.10466168946971749,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,4,3,400,77.9999999777594,0.027114975773524615,0.09097462182018132,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,3,31097,4,4,400,77.9999999777594,0.03227760556092428,0.1087073127001123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,0,0,400,77.86107223675077,0.029594067333167818,0.09982714565133825,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,0,1,400,77.93744165470734,0.024571136289910426,0.08228549870695322,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,0,2,400,77.99999999213033,0.0334363648546264,0.11228994028624761,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,0,3,400,77.99999999213033,0.028177307190712108,0.09572432652460973,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,0,4,400,77.99999999213033,0.02674343682895979,0.08987570747635738,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,1,0,400,77.75556017487843,0.02267090498817175,0.07710062807529597,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,1,1,400,77.89054793635651,0.031893236162968824,0.1076503651354629,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,1,2,400,77.99393215981378,0.029628855828708982,0.10033754153849905,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,1,3,400,77.9999999852487,0.026932695253020455,0.09024541080966259,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,1,4,400,77.9999999852487,0.027992742088932987,0.09485874237614712,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,2,0,400,77.67702171623239,0.02151640900934306,0.07169689697235013,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,2,1,400,77.83845295146742,0.0208029110021665,0.07055962591092108,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,2,2,400,77.93565385269576,0.02677998414954281,0.08956413493497926,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,2,3,400,77.99999998554917,0.03034115140531915,0.10216742911466416,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,2,4,400,77.99999998554917,0.02173089318543979,0.07303186348938023,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,3,0,400,77.65471454113218,0.022063686490735576,0.07490346878009238,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,3,1,400,77.73798028721622,0.018978865099311307,0.06472700209357511,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,3,2,400,73.72823433695481,0.027906971963296837,0.0940149934866378,87.5,100.0,100.0,98.75,87.5,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,3,3,400,77.99999996585359,0.026478131294234264,0.08906674292495959,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,3,4,400,77.99999996585359,0.031900944692736306,0.10546942792553476,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,4,0,400,77.72644770703728,0.02185111304733372,0.07464663025020041,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,4,1,400,77.7789922082082,0.0161676278796889,0.05441670443852102,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,4,2,400,63.10959038367078,0.05486267729727592,0.17643459658304667,42.25,100.0,100.0,99.0,42.25,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,4,3,400,77.9999999877883,0.030859824347765474,0.10428174165834507,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish,2,31000,4,4,400,77.9999999877883,0.02917214089837021,0.09889876382275099,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,0,0,400,77.69192502269641,0.02386692075311484,0.08105824593252063,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,0,1,400,77.55091516714673,0.022783924279870697,0.07758156146467388,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,0,2,400,77.53115170217875,0.024251138397918225,0.08227104905244423,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,0,3,400,77.60984740876847,0.02055780927488061,0.07006545874507747,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,0,4,400,77.60665398938445,0.024973656315325145,0.08512928543049267,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,1,0,400,77.4523570945318,0.01906752436534389,0.06485524868028655,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,1,1,400,77.39392191522491,0.015583924125090553,0.05223994471538298,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,1,2,400,77.38314453537954,0.01822857740790185,0.06163075782247571,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,1,3,400,77.4599235086193,0.018097238884804266,0.060543184333101914,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,1,4,400,74.83596339659707,0.020307508309196306,0.06952928847246057,83.0,100.0,100.0,100.0,83.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,2,0,400,77.31758930626711,0.020848115960162294,0.07068937447355371,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,2,1,400,73.7707644267887,0.026543020864234435,0.09169114727496339,73.25,100.0,100.0,100.0,73.25,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,2,2,400,77.29650975787511,0.013848855349964682,0.046821025267121154,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,2,3,400,77.54278668882218,0.019179322542954375,0.06435263912934623,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,2,4,400,77.68018146276214,0.020177808148361752,0.06744519984426128,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,3,0,400,77.37620229913355,0.01980550612287414,0.06758733817049327,100.0,100.0,100.0,100.0,100.0,100.0,100.0
freeform,cross_xy,factory_prepolish_deep_defect,5,31097,3,1,400,76.94119162565755,0.014906773121214549,0.05093634969239884,97.0,100.0,100.0,100.0,97.0,100.0,100.0
