shield_mode,surface_kind,sequences,safety_pass,quality_pass,force_overloads,sensor_fault_steps,raw_force_max_n,mean_all4_area_pct,mean_shield_step_fraction
control,flat,8,8,6,0,0,9.4632568359375,95.3075,0.0
control,cylinder,8,3,2,5,0,14.04121208190918,94.91624999999999,0.0
control,sphere,8,8,6,0,0,11.833740234375,95.3075,0.0
control,freeform,8,8,6,0,0,12.411579132080078,95.30000000000001,0.0
static_cap,flat,8,8,6,0,0,9.4632568359375,95.3075,0.0
static_cap,cylinder,8,8,6,0,0,13.380904197692871,95.17,0.7176904511526854
static_cap,sphere,8,8,6,0,0,10.53706169128418,95.1725,0.7205716858630873
static_cap,freeform,8,8,6,0,0,12.335296630859375,95.17,0.7049512653966525
predictive_shield,flat,4,4,3,0,0,9.4632568359375,95.29500000000002,0.0
predictive_shield,cylinder,4,4,3,0,0,13.843287467956543,95.1775,0.7197403663830909
predictive_shield,sphere,4,4,3,0,0,10.5382080078125,95.17999999999999,0.7248892277264118
predictive_shield,freeform,4,4,3,0,0,13.265766143798828,95.17999999999999,0.70272634137109
