candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z,link6_axis_x,link6_axis_y,link6_axis_z,pad_outward_axis_x,pad_outward_axis_y,pad_outward_axis_z,normal_alignment_error_deg,target_quat_w,target_quat_x,target_quat_y,target_quat_z
cylinder_r0p60_cross_normal,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.30635103583335876,0.125372052192688,0.4560374915599823,0.06149999052286148,-0.7772517204284668,0.0,0.6291897892951965,0.9679446816444397,-0.242095485329628,0.06687992811203003,-0.9679446816444397,0.242095485329628,-0.06687992811203003,44.74420928955078,0.9961817264556885,-0.0,-0.08730418980121613,0.0
cylinder_r0p60_cross_normal,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.20001927018165588,0.10303179174661636,0.3147599697113037,0.06089998036623001,-0.6000320911407471,0.0,0.7999759316444397,0.9345988631248474,-0.35495665669441223,-0.023035764694213867,-0.9345988631248474,0.35495665669441223,0.023035764694213867,54.604488372802734,0.9962284564971924,-0.0,-0.08676891773939133,0.0
cylinder_r0p60_cross_normal,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.11276018619537354,0.08192835748195648,0.1908503770828247,0.06029997020959854,-0.4546003043651581,0.0,0.8906955718994141,0.9167064428329468,-0.340466171503067,-0.20912182331085205,-0.9167064428329468,0.340466171503067,0.20912182331085205,52.915016174316406,0.9962749481201172,-0.0,-0.0862337276339531,0.0
cylinder_r0p60_cross_normal,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.0768146961927414,0.0747273713350296,0.1448345184326172,0.05969996005296707,-0.3946911692619324,0.0,0.9188138246536255,0.8208371996879578,-0.3636573553085327,-0.44043099880218506,-0.8208371996879578,0.3636573553085327,0.44043099880218506,43.226558685302734,0.9963210821151733,-0.0,-0.08569861203432083,0.0
cylinder_r0p60_cross_normal,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.0502658486366272,0.07311020791530609,0.1437661349773407,0.0590999498963356,-0.3504430949687958,0.0,0.9365840554237366,0.7122427225112915,-0.44217610359191895,-0.5451517105102539,-0.7122427225112915,0.44217610359191895,0.5451517105102539,40.51984786987305,0.9963669776916504,-0.0,-0.08516356348991394,0.0
cylinder_r0p60_cross_normal,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.024746060371398926,0.07895167917013168,0.1538914144039154,0.05849993973970413,-0.30791011452674866,0.0,0.951415479183197,0.5995530486106873,-0.5547683835029602,-0.5768606662750244,-0.5995530486106873,0.5547683835029602,0.5768606662750244,42.824222564697266,0.9964125752449036,-0.0,-0.08462859690189362,0.0
cylinder_r0p60_cross_normal,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.002922743558883667,0.08700044453144073,0.16928565502166748,0.05789992958307266,-0.2715378999710083,0.0,0.9624277353286743,0.4658045172691345,-0.6952553987503052,-0.5473989248275757,-0.4658045172691345,0.6952553987503052,0.5473989248275757,49.20795822143555,0.9964578747749329,-0.0,-0.08409370481967926,0.0
cylinder_r0p60_cross_normal,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.011733412742614746,0.07670092582702637,0.1655624806880951,0.05729991942644119,-0.247110977768898,0.0,0.9689871668815613,0.24289140105247498,-0.7495529055595398,-0.6157709360122681,-0.24289140105247498,0.7495529055595398,0.6157709360122681,48.951683044433594,0.9965028166770935,-0.0,-0.08355888724327087,0.0
cylinder_r0p60_cross_normal,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.030124664306640625,0.07357996702194214,0.13272330164909363,0.05669990926980972,-0.21645888686180115,0.0,0.9762917160987854,0.005002349615097046,-0.6178454756736755,-0.7862836122512817,-0.005002349615097046,0.6178454756736755,0.7862836122512817,39.760467529296875,0.996547520160675,-0.0,-0.08302413672208786,0.0
cylinder_r0p60_cross_normal,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.04727071523666382,0.07099287956953049,0.09345844388008118,0.05609989911317825,-0.18788214027881622,0.0,0.9821915626525879,-0.2521912157535553,-0.40653929114341736,-0.8781369924545288,0.2521912157535553,0.40653929114341736,0.8781369924545288,35.40111541748047,0.9965919256210327,-0.0,-0.08248946815729141,0.0
