check,expected,actual,pass
region_count_limit,<=24,2,True
rework_fraction_limit,<=0.5,0.16015625,True
no_barrier_contact,0,2,False
revalidation_exactly_changed_mask,0,0,True
changed_to_target_ratio,<=4.0,0.0,True
three_rail_time_guard,<=4h,1.4235992989126474,True
twelve_hour_plan_rejected,False,False,True
