shield_mode,direction_mode,surface_kind,sequences,safety_pass,quality_pass,force_overloads,thermal_overloads,unstable_overloads,sensor_fault_steps,mean_control_steps,max_raw_force_n,mean_final_all4_area_pct,mean_parent_force_action,mean_executed_force_action,mean_shield_step_fraction,min_force_action_cap
control,same_xx,flat,4,4,3,0,0,0,0,4140.5,9.4632568359375,95.29500000000002,0.7634298717020609,0.7634298717020609,0.0,1.0
control,same_xx,cylinder,4,1,1,3,0,0,0,2452.25,14.04121208190918,94.8375,0.885350265634643,0.885350265634643,0.0,1.0
control,same_xx,sphere,4,4,3,0,0,0,0,4134.75,11.833740234375,95.29500000000002,0.7586766862861383,0.7586766862861383,0.0,1.0
control,same_xx,freeform,4,4,3,0,0,0,0,4128.5,12.411579132080078,95.29250000000002,0.7448473747824265,0.7448473747824265,0.0,1.0
static_cap,same_xx,flat,4,4,3,0,0,0,0,4140.5,9.4632568359375,95.29500000000002,0.7634298717020609,0.7634298717020609,0.0,1.0
static_cap,same_xx,cylinder,4,4,3,0,0,0,0,4085.0,13.380904197692871,95.17999999999999,0.6643483673087918,0.4194121465059548,0.7201791747194188,0.5
static_cap,same_xx,sphere,4,4,3,0,0,0,0,4081.5,10.53706169128418,95.17999999999999,0.6634154502022449,0.41823929607985805,0.7241292591187746,0.5
static_cap,same_xx,freeform,4,4,3,0,0,0,0,4101.75,12.019120216369629,95.18249999999999,0.668818929804713,0.423155946131379,0.7081094656932063,0.5
predictive_shield,same_xx,flat,4,4,3,0,0,0,0,4140.5,9.4632568359375,95.29500000000002,0.7634298717020609,0.7634298717020609,0.0,1.0
predictive_shield,same_xx,cylinder,4,4,3,0,0,0,0,4085.5,13.843287467956543,95.1775,0.6633542556340664,0.41689243172181134,0.7197403663830909,-0.5
predictive_shield,same_xx,sphere,4,4,3,0,0,0,0,4082.0,10.5382080078125,95.17999999999999,0.6634292134944063,0.41776845142377356,0.7248892277264118,-0.5
predictive_shield,same_xx,freeform,4,4,3,0,0,0,0,4104.25,13.265766143798828,95.17999999999999,0.6640985128343313,0.4118857616193701,0.70272634137109,-0.5
