candidate_id,kind,curvature_radius_m,freeform_seed,direction_mode,tile_x,tile_y,exposure_norm,metric_status
flat,flat,100000000.0,0,cross_xy,1,2,1.1184599558199912,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,1,3,1.117616614860967,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,1,4,0.9672603821784442,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,2,0,0.9681242252033502,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,2,1,1.1184599558199912,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,2,2,1.118984586162762,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,2,3,1.1184599558199912,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,2,4,0.9681242252033502,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,3,0,0.967260382178444,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,3,1,1.117616614860967,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,3,2,1.1184599558199912,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,3,3,1.1176166148609672,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,3,4,0.9672603821784442,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,4,0,0.8315322932181126,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,4,1,0.967260382178444,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,4,2,0.9681242252033502,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,4,3,0.9672603821784443,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
flat,flat,100000000.0,0,cross_xy,4,4,0.8315322932181126,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,0,0,0.846518703614084,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,0,1,0.942263954754882,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,0,2,0.9418306529926206,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,0,3,0.942263954754882,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,0,4,0.8465187036140841,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,1,0,1.0116140600742913,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,1,1,1.1185624335083573,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,1,2,1.1181600526547455,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,1,3,1.1185624335083575,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,1,4,1.0116140600742916,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,2,0,0.9791720933830496,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,2,1,1.0820806572925747,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,2,2,1.0816764795475597,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,2,3,1.0820806572925747,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,2,4,0.9791720933830499,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,3,0,1.0116140600742913,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,3,1,1.1185624335083575,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,3,2,1.1181600526547455,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,3,3,1.1185624335083575,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,3,4,1.0116140600742916,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,4,0,0.8465187036140841,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,4,1,0.942263954754882,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,4,2,0.9418306529926207,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,4,3,0.942263954754882,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,same_xx,4,4,0.8465187036140841,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
