teacher,direction_mode,surface_profile,n,success_n,quality_ok_n,safety_ok_n,sensor_fault_steps,mean_passes,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,min_clearcoat_um,max_temperature_c,later_finish_steps,later_protect_steps,later_defect_champion_steps
champion_then_finish,cross_xy,factory_prepolish,4,4,4,4,0,1.0,75.02594988884587,0.09601612992481219,0.8512519770951447,0.2980609872527272,42.24089366530891,29.681694947150582,0,0,0
champion_then_finish,cross_xy,factory_prepolish_deep_defect,4,4,4,4,0,1.0,73.15425994951559,0.10632606131340736,1.0398382594869926,0.5556815914202766,42.263263481490085,29.62937824744193,0,0,0
champion_then_finish,cross_xy,factory_prepolish_deep_stress,4,4,4,4,0,1.0,72.7671650966529,0.10948341929981384,1.2672948939748736,0.93058142518003,42.2661587032985,29.62726131052096,0,0,0
champion_then_finish,cross_xy,legacy_stress,4,0,0,4,0,2.0,65.93711016278962,0.15555731489050156,2.2216308157858915,1.4515556832848733,40.47507636062258,29.57948358550979,21008,0,0
champion_then_finish,same_xx,factory_prepolish,4,4,4,4,0,1.0,74.97763550684873,0.09578465596743432,0.8372880442171895,0.3034910903811302,42.25732831200147,28.735246710381343,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_defect,4,4,4,4,0,1.0,73.11510259727483,0.10884738771345981,1.0375550641697393,0.5589765928915448,42.27657725547136,28.991698541485416,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_stress,4,4,4,4,0,1.0,72.72947430136477,0.11276547917707563,1.2671035012116911,0.9331814915101162,42.27921384018126,29.046896752641192,0,0,0
champion_then_finish,same_xx,legacy_stress,4,0,0,4,0,2.0,65.79666888863301,0.1581923286600309,2.232455204466916,1.453182598395444,40.47205018405358,29.588127901477552,21008,0,0
spatial_guarded,cross_xy,factory_prepolish,4,4,4,4,0,1.0,75.02594988884587,0.09601612992481219,0.8512519770951447,0.2980609872527272,42.24089366530891,29.681694947150582,0,0,0
spatial_guarded,cross_xy,factory_prepolish_deep_defect,4,4,4,4,0,1.0,73.15425994951559,0.10632606131340736,1.0398382594869926,0.5556815914202766,42.263263481490085,29.62937824744193,0,0,0
spatial_guarded,cross_xy,factory_prepolish_deep_stress,4,4,4,4,0,1.0,72.7671650966529,0.10948341929981384,1.2672948939748736,0.93058142518003,42.2661587032985,29.62726131052096,0,0,0
spatial_guarded,cross_xy,legacy_stress,4,0,0,4,0,2.0,64.37228650263272,0.14943505267798873,2.2272312713849374,1.526639499990016,40.6027775588213,29.57948358550979,0,10584,0
spatial_guarded,same_xx,factory_prepolish,4,4,4,4,0,1.0,74.97763550684873,0.09578465596743432,0.8372880442171895,0.3034910903811302,42.25732831200147,28.735246710381343,0,0,0
spatial_guarded,same_xx,factory_prepolish_deep_defect,4,4,4,4,0,1.0,73.11510259727483,0.10884738771345981,1.0375550641697393,0.5589765928915448,42.27657725547136,28.991698541485416,0,0,0
spatial_guarded,same_xx,factory_prepolish_deep_stress,4,4,4,4,0,1.0,72.72947430136477,0.11276547917707563,1.2671035012116911,0.9331814915101162,42.27921384018126,29.046896752641192,0,0,0
spatial_guarded,same_xx,legacy_stress,4,0,0,4,0,2.0,64.17928330606802,0.1525539976253537,2.237282340963798,1.5263003751274749,40.59898228028591,29.588127901477552,0,10584,0
