shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct,surface_seed_base
control,cylinder,cross_xy,factory_prepolish,1,40000,3,1,400,77.46577441831153,0.01462981180576509,0.049153821992864645,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,3,2,400,77.43161848824617,0.020884681321772226,0.06995338767282869,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,3,3,400,77.51344359035672,0.020684784525977357,0.07039813542858521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,3,4,400,77.5934636373129,0.026574574460957602,0.08959601224608306,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,4,0,400,71.76791020246623,0.0358001274654792,0.11885408821065602,69.5,100.0,100.0,100.0,69.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,4,1,400,77.52948211058559,0.01869181109567978,0.06275827814640254,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,4,2,400,77.64838105060569,0.022529715659434988,0.07634705045990142,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,4,3,400,77.58976341615094,0.024387549581011417,0.08242624832139502,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish,1,40000,4,4,400,77.65750585108827,0.028753441950330735,0.09729780111129431,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,0,0,400,77.68024155731973,0.025976538002460824,0.08781120693519615,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,0,1,400,77.52918304310018,0.026180304788866623,0.08816270730110343,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,0,2,400,77.52776106048321,0.021433861110797106,0.07197637468863163,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,0,3,400,77.54432770659785,0.027996566738784905,0.09333299690494609,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,0,4,400,77.63673426844889,0.02641331921923083,0.08902030105297239,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,1,0,400,77.49095475181645,0.021775720526889683,0.0741748658967432,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,1,1,400,77.40402224122136,0.02122848059195082,0.07180001657386198,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,1,2,400,77.19599706939951,0.022627061879590616,0.07603639990323215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,1,3,400,77.36950337763373,0.0195525814267953,0.0662083400930427,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,1,4,400,77.55353145308702,0.01979951772785866,0.06748573902690942,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,2,0,400,76.84590838835013,0.02291260406392359,0.07760840617715971,96.5,100.0,100.0,100.0,96.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,2,1,400,77.33730218756037,0.016529081007207562,0.055718113665300925,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,2,2,400,76.80726572998542,0.014784275007811702,0.050226822991786865,96.75,100.0,100.0,100.0,96.75,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,2,3,400,68.9979759813073,0.05809596931940472,0.19658365273486958,61.5,96.0,100.0,100.0,61.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,2,4,400,76.54749500361567,0.01961908209507068,0.06632689956755385,95.75,100.0,100.0,100.0,95.75,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,3,0,400,71.3856388583874,0.039352253415987554,0.1326625239235508,67.0,100.0,100.0,100.0,67.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,3,1,400,77.46311862785657,0.014586550296012078,0.048963859909588264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,3,2,400,77.33301053985824,0.01904696288794626,0.06370037607158809,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,3,3,400,76.17332246751138,0.019796032781464176,0.06770601508790429,94.5,99.75,100.0,100.0,94.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,3,4,400,69.37494845775177,0.0481440872885843,0.16484139411909784,67.0,98.75,100.0,99.5,67.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,4,0,400,71.7732833019883,0.03586595375980768,0.11906391293140801,69.5,100.0,100.0,100.0,69.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,4,1,400,77.5417461838127,0.01898586119956437,0.06372366991710766,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,4,2,400,77.62546924713818,0.02283196397316048,0.0772627317221692,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,4,3,400,77.45041995697972,0.023102381441035203,0.07818358351329087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,4,4,400,77.48554160393435,0.027194938873608215,0.0920392685715509,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,0,0,400,77.67965423285304,0.025963672691192232,0.08776784868770499,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,0,1,400,77.52946407849964,0.026181965286399277,0.0881718719886107,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,0,2,400,77.53139745188469,0.021516999058915524,0.07223784555899568,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,0,3,400,77.54831808829773,0.028071739695786687,0.09358295871254661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,0,4,400,77.63945119693233,0.026475901129222282,0.08922907021631298,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,1,0,400,77.49135630929699,0.021784225597210022,0.07419744396866497,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,1,1,400,77.40788301528478,0.021322447915412743,0.0720957069432762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,1,2,400,77.23033365928666,0.023413767391476128,0.0785789494911041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,1,3,400,77.41319250922537,0.020559055365202764,0.0695694593336246,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,1,4,400,77.57130447545121,0.020355024442927715,0.06934628626884178,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,2,0,400,76.84685520464296,0.02294025923270905,0.07770455878383932,96.5,100.0,100.0,100.0,96.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,2,1,400,77.35329214765522,0.016887942875410063,0.05690048367970634,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,2,2,400,76.53918375499154,0.018152803332421835,0.061938886285719474,95.25,100.0,100.0,100.0,95.25,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,2,3,400,65.72878471834652,0.09151630540101933,0.30795759750848495,60.0,81.5,100.0,100.0,60.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,2,4,400,76.37634892554208,0.0230929005414999,0.0780479401615902,95.75,99.75,100.0,100.0,95.75,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,3,0,400,71.38324067247892,0.0393788020599747,0.13275502276405057,67.0,100.0,100.0,100.0,67.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,3,1,400,77.47294580008929,0.014822870399246678,0.04974567931727462,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,3,2,400,77.37779151616408,0.020314005505172674,0.06790461742151206,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,3,3,400,75.87674742753362,0.02509479192042641,0.08566119660921234,94.0,98.75,100.0,100.0,94.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,3,4,400,67.02884475512744,0.07277623388859036,0.24792826384439068,66.25,87.75,100.0,99.5,66.25,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,4,0,400,71.77383703641591,0.03588236612869331,0.11912062395081258,69.5,100.0,100.0,100.0,69.5,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,4,1,400,77.54375831331014,0.019032270573090305,0.0638862243066467,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,4,2,400,77.63351808552747,0.023065760444356723,0.07803755306897893,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,4,3,400,77.47837862440728,0.023805581134555505,0.0805108596902006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,4,4,400,77.50758887359032,0.027810627803223867,0.09407840691643886,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,0,0,400,77.58983768175705,0.017173464574571588,0.057932989491235494,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,0,1,400,75.08267060493966,0.01276157756729774,0.04277063090134959,88.25,100.0,100.0,100.0,88.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,0,2,400,67.49269914630516,0.017118555860384087,0.05727547825150072,68.75,100.0,100.0,98.5,68.75,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,0,3,400,71.79549088806054,0.014924370182008855,0.051022347768875084,75.25,100.0,100.0,100.0,75.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,0,4,400,77.69689693892053,0.0148747808608558,0.050087670459609636,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,1,0,400,77.53647892027136,0.012623257520237937,0.04297456890358536,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,1,1,400,71.47520594156158,0.05539368992385354,0.1879687351538546,80.75,88.5,100.0,100.0,80.75,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,1,2,400,77.56692194788413,0.011855001879646805,0.03991527823860795,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,1,3,400,77.50844176927629,0.012757242300332771,0.04319189633601304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,1,4,400,77.58180015672116,0.013699602547770242,0.04658346130391026,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,2,0,400,77.50332320813972,0.013362623481303125,0.04511371475732988,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,2,1,400,66.1239334279935,0.09991810322963694,0.3255847934309814,64.25,75.5,100.0,100.0,64.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,2,2,400,71.39031469621366,0.037929918701251016,0.12874987142421918,63.74999999999999,100.0,100.0,100.0,63.74999999999999,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,2,3,400,74.88666121638038,0.015875215211955885,0.05365760383174508,79.75,100.0,100.0,100.0,79.75,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,2,4,400,77.51696012809731,0.010900870106610387,0.03651013281923635,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,3,0,400,77.46489352004926,0.011583122018585428,0.038684501549023864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,3,1,400,73.2149379496156,0.02778783335264641,0.09411139292068692,73.75,100.0,100.0,100.0,73.75,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,3,2,400,70.55791340614442,0.03317664950131456,0.11120004397301309,45.5,100.0,100.0,99.75,45.5,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,3,3,400,69.56829769134433,0.04922150157360834,0.1667072723975045,60.25,97.25,100.0,100.0,60.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,3,4,400,67.6069991405551,0.06512423777238134,0.21248342463762881,55.00000000000001,94.5,100.0,100.0,55.00000000000001,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,4,0,400,70.6790970049981,0.04785817205305758,0.1571194967796919,66.25,99.5,100.0,100.0,66.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,4,1,400,72.60547726338645,0.024834542475483636,0.08437770854942965,64.5,100.0,100.0,100.0,64.5,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,4,2,400,75.17778727011566,0.020648627643691242,0.07027440008896231,85.5,100.0,100.0,100.0,85.5,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,4,3,400,76.448710091657,0.01668259720370469,0.056301809476711095,94.25,100.0,100.0,100.0,94.25,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,4,4,400,66.72896482649863,0.08726180907855871,0.27417152732153527,67.0,80.25,100.0,100.0,67.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,0,0,400,77.6980537209672,0.02622119721999036,0.08865005601585091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,0,1,400,77.54555618925173,0.026461502855776163,0.08905712432373415,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,0,2,400,77.56132337446867,0.022093027209229614,0.07411135091435771,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,0,3,400,77.57062729969002,0.028523275650013603,0.09506674929017798,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,0,4,400,77.64781289534817,0.02686062505819434,0.09046415065951546,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,1,0,400,77.51215346981095,0.02242437743702693,0.07638053363045705,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,1,1,400,77.4599633815663,0.022205844397457666,0.07500107136097439,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,1,2,400,77.36667143409703,0.02523101473260883,0.08461313930800747,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,1,3,400,77.5410367452742,0.021929867599162742,0.07438149344602796,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,1,4,400,77.64402639685524,0.020777530526749622,0.07093330114598423,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,2,0,400,76.85475183820348,0.023306152661726663,0.07892984321056294,96.5,100.0,100.0,100.0,96.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,2,1,400,77.40552741787411,0.018471674246985738,0.062279252550411786,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,2,2,400,77.52283190677035,0.016944013723135504,0.05710303623920355,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,2,3,400,77.43930150577073,0.0242113423999767,0.08253089429934324,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,2,4,400,77.5975192942482,0.02256099990221139,0.07590035350373862,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,3,0,400,71.3848901336113,0.03947150458724222,0.1329702884555004,67.0,100.0,100.0,100.0,67.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,3,1,400,77.49162929873984,0.015519296099347782,0.05215853856264954,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,3,2,400,77.44789858946228,0.021178781614557694,0.07082966805202735,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,3,3,400,77.52010120870418,0.020807893204048904,0.07077384795481606,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,3,4,400,77.58983046766735,0.026498469673757557,0.08944453763520756,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,4,0,400,71.83841532797193,0.035448119139053505,0.11770873828838578,69.5,100.0,100.0,100.0,69.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,4,1,400,77.55278556374971,0.019397017162663552,0.06515938035732491,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,4,2,400,77.65520162884533,0.022735974195672498,0.0770508279592613,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,4,3,400,77.60198779976378,0.0247572771169965,0.0836457450153134,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,4,4,400,77.65472504212448,0.028773620113067847,0.09739618570726095,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,0,0,400,77.68652819731844,0.026028698443390307,0.08800484704714856,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,0,1,400,77.54179620700891,0.026370958195256013,0.08873251486744385,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,0,2,400,77.54487223842013,0.021953639117524525,0.07363728818085576,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,0,3,400,77.58295050712712,0.029022274537074802,0.09669851538969425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,0,4,400,77.66844191073716,0.02743537540703177,0.09236381995621593,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,1,0,400,77.50247972956623,0.022099433620707765,0.07528056423313638,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,1,1,400,77.39556106547299,0.021133933911757684,0.07143783138429353,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,1,2,400,77.14941255551203,0.021851485254096876,0.07335534114836753,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,1,3,400,77.36563470814353,0.019628770254659447,0.06663033249704345,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,1,4,400,77.56916833211548,0.020342538566025848,0.06946978318971908,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,2,0,400,76.84782414929427,0.023199320328065792,0.07858048149598745,96.5,100.0,100.0,100.0,96.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,2,1,400,77.3335978129896,0.01654512324906002,0.055763354274184725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,2,2,400,76.77981665457864,0.013585091625285423,0.04618021074308651,96.75,100.0,100.0,100.0,96.75,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,2,3,400,69.06660588255222,0.05751763891399282,0.19468899279264323,61.5,96.25,100.0,100.0,61.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,2,4,400,76.55465733951547,0.020036211978873616,0.06785213380413443,95.75,100.0,100.0,100.0,95.75,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,3,0,400,71.38966428565446,0.039437601417756346,0.13287118300808448,67.0,100.0,100.0,100.0,67.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,3,1,400,77.46712444396533,0.014803019593613213,0.04973924879150576,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,3,2,400,77.28254477884157,0.017916023478876764,0.059774711391729525,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,3,3,400,76.17024085605063,0.01951996134723883,0.06666811778302073,94.5,99.75,100.0,100.0,94.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,3,4,400,69.4515500807179,0.04803867351253379,0.16469470059415195,67.0,98.75,100.0,99.5,67.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,4,0,400,71.8381745847947,0.03544725520401145,0.11770308335197907,69.5,100.0,100.0,100.0,69.5,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,4,1,400,77.55643486063282,0.019522581312150667,0.06557332961139778,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,4,2,400,77.62154621502069,0.022700371616874326,0.07682742044638413,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,4,3,400,77.45753795425676,0.02327160929221667,0.07875513073428991,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
