shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10,surface_seed_base
control,flat,cross_xy,factory_prepolish,1,42000,success,True,True,False,False,False,3014,2915,0,7.838073253631592,89.16697692871094,0.326797220670552,0.326797220670552,0.19452992594085866,0.19452992594085866,0.0,1.0,1.0,75.63427585068149,77.07010390625912,0.10423956465427767,0.07482916521720895,0.8066506030547682,0.6684634178021467,0.0,0.0,40.84238660395083,27.60634087109581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,success,True,True,False,False,False,3604,3505,0,8.995570182800293,89.1669921875,0.5168027700453203,0.5168027700453203,-0.16410756420621134,-0.16410756420621134,0.0,1.0,1.0,71.11316342656721,74.6665027301022,0.10757856261492448,0.10505714666873114,1.0575528345960374,1.0293533733250984,0.7984908942562646,0.5843845517074024,40.60852697988407,29.15771065279906,97.16,97.16,72.0,90.30000000000001,99.51,99.51,94.25,99.25,100.0,100.0,100.0,100.0,99.88,99.88,98.25,99.85,97.16,97.16,72.0,90.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.38,97.38,73.25,91.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.38,97.38,73.25,91.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
control,flat,cross_xy,factory_prepolish_deep_stress,3,42000,success,True,True,False,False,False,3627,3528,0,9.255416870117188,89.1669921875,0.5194567712088048,0.5194567712088048,-0.17647020148099504,-0.17647020148099504,0.0,1.0,1.0,71.3952283395468,74.10487414034469,0.11006384420166423,0.10920799613493136,1.3188842933439768,1.3005453973991405,1.234259859295687,0.9750175581874528,40.61454805470443,29.17827361989145,97.0,97.0,68.75,90.05000000000001,98.47,98.47,81.5,96.8,100.0,100.0,100.0,100.0,99.92,99.92,98.75,99.85,97.0,97.0,68.75,90.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.18,97.18,71.5,90.45,99.26,99.26,91.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.18,97.18,71.5,90.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
control,flat,cross_xy,legacy_stress,0,42000,fail_max_passes,False,True,False,False,False,5230,5131,0,8.82931137084961,89.16697692871094,0.849372153380177,0.849372153380177,-0.7351176291141467,-0.7351176291141467,0.0,1.0,1.0,59.98403381583723,65.26189130586769,0.12155760231956306,0.12882816803135838,1.9958313372722771,1.9278517126134658,1.607379250115499,1.4487631506650498,41.974449224931085,29.600150033786978,85.16,85.16,21.5,51.8,92.07,92.07,52.25,72.45,100.0,100.0,100.0,100.0,99.79,99.79,98.25,99.5,85.16,85.16,21.5,51.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.92,85.92,27.0,53.05,93.95,93.95,64.75,76.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.92,85.92,27.0,53.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
static_cap,flat,cross_xy,factory_prepolish,1,42000,success,True,True,False,False,False,3014,2915,0,7.838073253631592,89.16697692871094,0.326797220670552,0.326797220670552,0.19452992594085866,0.19452992594085866,0.0,1.0,1.0,75.63427585068149,77.07010390625912,0.10423956465427767,0.07482916521720895,0.8066506030547682,0.6684634178021467,0.0,0.0,40.84238660395083,27.60634087109581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
static_cap,flat,cross_xy,factory_prepolish_deep_defect,2,42000,success,True,True,False,False,False,3604,3505,0,8.995570182800293,89.1669921875,0.5168027700453203,0.5168027700453203,-0.16410756420621134,-0.16410756420621134,0.0,1.0,1.0,71.11316342656721,74.6665027301022,0.10757856261492448,0.10505714666873114,1.0575528345960374,1.0293533733250984,0.7984908942562646,0.5843845517074024,40.60852697988407,29.15771065279906,97.16,97.16,72.0,90.30000000000001,99.51,99.51,94.25,99.25,100.0,100.0,100.0,100.0,99.88,99.88,98.25,99.85,97.16,97.16,72.0,90.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.38,97.38,73.25,91.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.38,97.38,73.25,91.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
static_cap,flat,cross_xy,factory_prepolish_deep_stress,3,42000,success,True,True,False,False,False,3627,3528,0,9.255416870117188,89.1669921875,0.5194567712088048,0.5194567712088048,-0.17647020148099504,-0.17647020148099504,0.0,1.0,1.0,71.3952283395468,74.10487414034469,0.11006384420166423,0.10920799613493136,1.3188842933439768,1.3005453973991405,1.234259859295687,0.9750175581874528,40.61454805470443,29.17827361989145,97.0,97.0,68.75,90.05000000000001,98.47,98.47,81.5,96.8,100.0,100.0,100.0,100.0,99.92,99.92,98.75,99.85,97.0,97.0,68.75,90.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.18,97.18,71.5,90.45,99.26,99.26,91.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.18,97.18,71.5,90.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
static_cap,flat,cross_xy,legacy_stress,0,42000,fail_max_passes,False,True,False,False,False,5230,5131,0,8.82931137084961,89.16697692871094,0.849372153380177,0.849372153380177,-0.7351176291141467,-0.7351176291141467,0.0,1.0,1.0,59.98403381583723,65.26189130586769,0.12155760231956306,0.12882816803135838,1.9958313372722771,1.9278517126134658,1.607379250115499,1.4487631506650498,41.974449224931085,29.600150033786978,85.16,85.16,21.5,51.8,92.07,92.07,52.25,72.45,100.0,100.0,100.0,100.0,99.79,99.79,98.25,99.5,85.16,85.16,21.5,51.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.92,85.92,27.0,53.05,93.95,93.95,64.75,76.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.92,85.92,27.0,53.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
control,cylinder,cross_xy,factory_prepolish,1,42000,success,True,True,False,False,False,3022,2922,0,11.164680480957031,48.528404235839844,0.3270024871595406,0.3270024871595406,0.18895453092605763,0.18895453092605763,0.0,1.0,1.0,75.63427585068149,77.07119926049722,0.10423956465427767,0.07479480932423772,0.8066506030547682,0.6677623722225488,0.0,0.0,40.840035013952516,27.55364800866877,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,42000,success,True,True,False,False,False,3605,3505,0,11.65772533416748,48.52824401855469,0.5161341439049055,0.5161341439049055,-0.1649559110651069,-0.1649559110651069,0.0,1.0,1.0,71.11316342656721,74.66207306159933,0.10757856261492448,0.10416815566623513,1.0575528345960374,1.026539907375939,0.7984908942562646,0.5861953095883227,40.61221282718289,29.104321022091497,97.16,97.16,72.0,90.30000000000001,99.51,99.51,94.25,99.25,100.0,100.0,100.0,100.0,99.88,99.88,98.25,99.85,97.16,97.16,72.0,90.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.35000000000001,97.35,73.25,90.80000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.35000000000001,97.35,73.25,90.80000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42000
