shield_mode,direction_mode,surface_profile,profile_seed,mismatched_fields,identical
static_cap,cross_xy,factory_prepolish,40000,,True
static_cap,cross_xy,factory_prepolish_deep_defect,40000,,True
static_cap,cross_xy,factory_prepolish_deep_stress,40000,,True
static_cap,cross_xy,legacy_stress,40000,,True
static_cap,same_xx,factory_prepolish,40000,,True
static_cap,same_xx,factory_prepolish_deep_defect,40000,,True
static_cap,same_xx,factory_prepolish_deep_stress,40000,,True
static_cap,same_xx,legacy_stress,40000,,True
static_cap,same_xx,factory_prepolish,41000,,True
static_cap,same_xx,factory_prepolish_deep_defect,41000,,True
static_cap,same_xx,factory_prepolish_deep_stress,41000,,True
static_cap,same_xx,legacy_stress,41000,,True
static_cap,cross_xy,factory_prepolish,41000,,True
static_cap,cross_xy,factory_prepolish_deep_defect,41000,,True
static_cap,cross_xy,factory_prepolish_deep_stress,41000,,True
static_cap,cross_xy,legacy_stress,41000,,True
static_cap,same_xx,factory_prepolish,42000,,True
static_cap,same_xx,factory_prepolish_deep_defect,42000,,True
static_cap,same_xx,factory_prepolish_deep_stress,42000,,True
static_cap,same_xx,legacy_stress,42000,,True
static_cap,cross_xy,factory_prepolish,42000,,True
static_cap,cross_xy,factory_prepolish_deep_defect,42000,,True
static_cap,cross_xy,factory_prepolish_deep_stress,42000,,True
static_cap,cross_xy,legacy_stress,42000,,True
static_cap,same_xx,factory_prepolish,43000,,True
static_cap,same_xx,factory_prepolish_deep_defect,43000,,True
static_cap,same_xx,factory_prepolish_deep_stress,43000,,True
static_cap,same_xx,legacy_stress,43000,,True
static_cap,cross_xy,factory_prepolish,43000,,True
static_cap,cross_xy,factory_prepolish_deep_defect,43000,,True
static_cap,cross_xy,factory_prepolish_deep_stress,43000,,True
static_cap,cross_xy,legacy_stress,43000,,True
