surface_profile,direction_mode,n,success_count,quality_ok_count,safety_ok_count,gu70_count,ra_le_0p20_count,rz_le_2p0_count,scratch_improved_count,profile_gu_mean_mean,profile_gu_mean_initial_mean,profile_gu_mean_change_mean,roi_total_ra_um_mean,roi_total_ra_um_initial_mean,roi_total_ra_um_change_mean,roi_total_rz_um_mean,roi_total_rz_um_initial_mean,roi_total_rz_um_change_mean,roi_fine_ra_um_mean,roi_fine_ra_um_initial_mean,roi_fine_ra_um_change_mean,roi_fine_rz_um_mean,roi_fine_rz_um_initial_mean,roi_fine_rz_um_change_mean,roi_removal_mean_um_mean,roi_removal_mean_um_initial_mean,roi_removal_mean_um_change_mean,roi_removal_std_um_mean,roi_removal_std_um_initial_mean,roi_removal_std_um_change_mean,roi_removal_cv_mean,roi_removal_cv_initial_mean,roi_removal_cv_change_mean,roi_removal_waviness_ra_um_mean,roi_removal_waviness_ra_um_initial_mean,roi_removal_waviness_ra_um_change_mean,roi_removal_waviness_std_um_mean,roi_removal_waviness_std_um_initial_mean,roi_removal_waviness_std_um_change_mean,roi_center_edge_delta_um_mean,roi_center_edge_delta_um_initial_mean,roi_center_edge_delta_um_change_mean,roi_center_edge_ratio_mean,roi_center_edge_ratio_initial_mean,roi_center_edge_ratio_change_mean,roi_coverage_fraction_mean,roi_coverage_fraction_initial_mean,roi_coverage_fraction_change_mean,roi_scratch_max_um_mean,roi_scratch_max_um_initial_mean,roi_scratch_max_um_change_mean,roi_clearcoat_min_um_mean,roi_clearcoat_min_um_initial_mean,roi_clearcoat_min_um_change_mean,force_used_mean_n_mean,force_used_max_n_mean,feed_cmd_mean_mm_s_mean,fallback_steps_mean
factory_prepolish,cross_xy,16,15,15,16,15,16,16,9,74.65806372916671,72.06903380788361,2.589029921283098,0.09286361021358672,0.1123521529822131,-0.019488542768626365,0.8107540470512162,0.904672690412327,-0.0939186433611108,0.06853856291109649,0.0912768951575132,-0.0227383322464167,0.6326710741045563,0.7679835882981914,-0.13531251419363513,0.171747852126306,0.0,0.171747852126306,0.06150531777655443,0.0,0.06150531777655443,0.348970632726596,0.0,0.348970632726596,0.032947908178454444,0.0,0.032947908178454444,0.0483357156718186,0.0,0.0483357156718186,0.05796940237181437,0.0,0.05796940237181437,1.383164728520585,0.0,1.383164728520585,0.8973687499999999,0.0,0.8973687499999999,0.2011233091283257,0.24327187792673025,-0.042148568798404555,42.46223417323672,42.62554556344058,-0.16331139020385654,5.260710150003433,7.776751667261124,15.019023208878934,0.0
factory_prepolish_deep_defect,cross_xy,16,15,15,16,15,16,16,16,73.34807074881365,69.81998280861109,3.528087940202577,0.10929312818770034,0.11441762035819941,-0.005124492170499068,1.0896717137048308,1.1278403728177913,-0.03816865911296041,0.06666381279319337,0.09360001343693675,-0.026936200643743375,0.7898474126928562,0.9917385114361067,-0.2018910987432505,0.22471076246641697,0.0,0.22471076246641697,0.1116070946156093,0.0,0.1116070946156093,0.49573498186768133,0.0,0.49573498186768133,0.06076557395645942,0.0,0.06076557395645942,0.09842481421433463,0.0,0.09842481421433463,0.09375701044463303,0.0,0.09375701044463303,1.4896100061058044,0.0,1.4896100061058044,0.9221312500000001,0.0,0.9221312500000001,0.6258285884130985,0.7821587479899371,-0.1563301595768386,42.42304716315763,42.62554556344058,-0.20249840028295774,5.797600716352463,8.432966649532318,12.860897928476334,0.0
factory_prepolish_deep_stress,cross_xy,16,14,14,16,14,16,16,16,72.8105181770393,69.51102006867275,3.299498108366559,0.11289127039908989,0.11618548884074932,-0.0032942184416594397,1.3846057887350753,1.4328974956080378,-0.04829170687296236,0.0692508905367966,0.09556285663970146,-0.026311966102904864,1.0553302884474722,1.2835650171316848,-0.2282347286842126,0.22788939597889635,0.0,0.22788939597889635,0.11439486856083494,0.0,0.11439486856083494,0.5011719407872284,0.0,0.5011719407872284,0.062469262782347205,0.0,0.062469262782347205,0.10167079100335133,0.0,0.10167079100335133,0.09637010300041644,0.0,0.09637010300041644,1.495502926707206,0.0,1.495502926707206,0.92258125,0.0,0.92258125,1.0429568795913255,1.2134835894170277,-0.17052670982570226,42.422805463596404,42.62554556344058,-0.2027400998441733,5.822342216968536,8.454470217227936,12.763082922901958,0.0
