candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z
flat_cross,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.29872745275497437,0.1245434433221817,0.23376867175102234,0.06149999052286148,0.0,0.0,1.0
flat_cross,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.19163933396339417,0.10305940359830856,0.19266262650489807,0.06089998036623001,0.0,0.0,1.0
flat_cross,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.10957002639770508,0.08259380608797073,0.1256890594959259,0.06029997020959854,0.0,0.0,1.0
flat_cross,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.07580678164958954,0.07586757838726044,0.10484793782234192,0.05969996005296707,0.0,0.0,1.0
flat_cross,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.04960222542285919,0.07435411214828491,0.1152811348438263,0.0590999498963356,0.0,0.0,1.0
flat_cross,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.024453818798065186,0.08048789203166962,0.13389286398887634,0.05849993973970413,0.0,0.0,1.0
flat_cross,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.0051558613777160645,0.08059576898813248,0.15228280425071716,0.05789992958307266,0.0,0.0,1.0
flat_cross,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.01224607229232788,0.07679789513349533,0.1383604109287262,0.05729991942644119,0.0,0.0,1.0
flat_cross,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.030947387218475342,0.07340244948863983,0.10742691159248352,0.05669990926980972,0.0,0.0,1.0
flat_cross,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.04661265015602112,0.06870244443416595,0.0768822729587555,0.05609989911317825,0.0,0.0,1.0
flat_cross,11,0.5499998331069946,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.05949258804321289,0.06992964446544647,0.060212403535842896,0.05549988895654678,0.0,0.0,1.0
flat_cross,12,0.5999997854232788,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06670752167701721,0.07516772300004959,0.05436629056930542,0.054899878799915314,0.0,0.0,1.0
flat_cross,13,0.649999737739563,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06849241256713867,0.07512038201093674,0.052978694438934326,0.054299868643283844,0.0,0.0,1.0
flat_cross,14,0.6999996900558472,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06901878118515015,0.07429154217243195,0.0522991418838501,0.053699858486652374,0.0,0.0,1.0
