mode,split,n,mse,mae,force_mae,feed_mae
base14,train,13440,0.0005225799977779388,0.00835416465997696,0.013772199861705303,0.002936128992587328
base14,validation,2880,0.00046691132592968643,0.008097386918962002,0.01321253553032875,0.002982236910611391
base14,test,2880,0.0007939632050693035,0.008918569423258305,0.014785069040954113,0.003052069805562496
