rollout_steps,lambda_label,gae_lambda,samples_per_iteration_12env,iterations_to_first_terminal,iterations_to_all_first_terminals,direct_credit_steps_min,direct_credit_steps_mean,direct_credit_steps_max,direct_credit_path_fraction_mean,gae_weight_to_rollout_start_min,gae_weight_to_rollout_start_mean,gae_weight_to_rollout_start_max
48,current_0p95,0.95,576,62,75,6,21.0,40,0.0064736522212917895,0.1326629791982612,0.41839688516719525,0.7718484186416096
48,alternative_0p99,0.99,576,62,75,6,21.0,40,0.0064736522212917895,0.6626767429355641,0.8158641705701349,0.9486149510619347
128,current_0p95,0.95,1536,23,28,15,79.66666666666667,126,0.024345123743118754,0.0015427674518548717,0.0882245137375083,0.48427232670876463
128,alternative_0p99,0.99,1536,23,28,15,79.66666666666667,126,0.024345123743118754,0.26745402090212117,0.47270108250278603,0.862684316573199
256,current_0p95,0.95,3072,12,14,42,154.33333333333334,234,0.04753645763139044,5.741059820197104e-06,0.015986135571439148,0.11960864031978899
256,alternative_0p99,0.99,3072,12,14,42,154.33333333333334,234,0.04753645763139044,0.08558396068404171,0.2510869350548165,0.6488401486477643
512,current_0p95,0.95,6144,6,7,152,367.6666666666667,490,0.11302836554374666,1.001454979496754e-11,3.9844467405000995e-05,0.0004012979721869661
512,alternative_0p99,0.99,6144,6,7,152,367.6666666666667,490,0.11302836554374666,0.005746436371717573,0.0439375869634298,0.20329043763839189
