policy_label,direction_mode,surface_profile,n,success_n,quality_ok_n,safety_ok_n,sensor_fault_steps,gu_final_mean,ra_final_um_mean,rz_final_um_mean,scratch_final_um_mean,clearcoat_min_um_min
bc_base14,cross_xy,factory_prepolish,8,7,7,8,0,73.67353820222216,0.08741725675026747,0.7742560743238626,0.19829806301468358,42.00118750709222
bc_base14,cross_xy,factory_prepolish_deep_defect,8,7,7,8,0,72.38882005187253,0.10060251225313073,0.9952022223007302,0.5740508892756815,42.00113159761934
bc_base14,cross_xy,factory_prepolish_deep_stress,8,7,7,8,0,72.02568532838077,0.10538632519978335,1.246622078365201,0.9611987194679878,42.000858418662915
bc_base14,cross_xy,legacy_stress,8,0,0,8,0,63.15621293935265,0.13718870898622024,2.015392883669909,1.4237852290972473,41.03299255681973
bc_base14,same_xx,factory_prepolish,8,7,7,8,0,73.66447779691505,0.08772350165584718,0.7727276330341594,0.19880645778138897,41.99978103198047
bc_base14,same_xx,factory_prepolish_deep_defect,8,7,7,8,0,72.38121458899782,0.10092801254104032,1.0011016381589546,0.5722471700229226,41.99966938162605
bc_base14,same_xx,factory_prepolish_deep_stress,8,7,7,8,0,72.0157939116618,0.10534268135979927,1.2514661351948264,0.9590580390827226,41.99950969667793
bc_base14,same_xx,legacy_stress,8,0,0,8,0,63.17222226287132,0.1383473890909861,2.0189857895183936,1.423216161965523,41.037359974058006
bc_global20,cross_xy,factory_prepolish,8,7,7,8,0,73.66070008869059,0.08745172439716986,0.7743245686714867,0.19880865977322082,42.00451091482223
bc_global20,cross_xy,factory_prepolish_deep_defect,8,7,7,8,0,72.27868074228343,0.09554312040595242,0.978818264988597,0.6006822762560826,42.003556937986176
bc_global20,cross_xy,factory_prepolish_deep_stress,8,7,7,8,0,72.02735033828866,0.10407188387054957,1.2429508634456377,0.9656903879945771,42.00293644930812
bc_global20,cross_xy,legacy_stress,8,0,0,8,0,62.733014472280814,0.1354832224601012,2.004245359168837,1.4311985731855925,41.04137159037676
bc_global20,same_xx,factory_prepolish,8,7,7,8,0,73.64660276749738,0.0877415555795767,0.7728092723959634,0.1995811893844605,42.00208847195788
bc_global20,same_xx,factory_prepolish_deep_defect,8,7,7,8,0,72.27231771533371,0.09578282277249577,0.9810682923997104,0.5982117487186842,42.0014900514653
bc_global20,same_xx,factory_prepolish_deep_stress,8,7,7,8,0,72.01833833037176,0.10403531720413918,1.2475466314601142,0.9624436516419529,42.00143289852774
bc_global20,same_xx,legacy_stress,8,0,0,8,0,62.7479314255519,0.137010279688696,2.0083136923613436,1.429204531639838,41.04405440615876
bc_spatial120,cross_xy,factory_prepolish,8,7,7,8,0,74.00704574510934,0.0875608231857152,0.7796378808634492,0.18294969198192934,41.94871958543101
bc_spatial120,cross_xy,factory_prepolish_deep_defect,8,7,7,8,0,72.31041755030952,0.10113068606577204,0.9932051206881328,0.5777813470675865,41.975530884269055
bc_spatial120,cross_xy,factory_prepolish_deep_stress,8,6,6,8,0,71.83638040239218,0.10459663848456065,1.2448824589403964,0.9745037105884434,41.99470157085278
bc_spatial120,cross_xy,legacy_stress,8,0,0,8,0,59.175402012094786,0.1094656132209573,1.9249588735948637,1.5575216997073174,40.978198941561466
bc_spatial120,same_xx,factory_prepolish,8,7,7,8,0,74.01278958814787,0.08785708403127719,0.778288917376627,0.18236084661271007,41.9650506923366
bc_spatial120,same_xx,factory_prepolish_deep_defect,8,7,7,8,0,72.29895949088971,0.10078141447601138,0.9983052017584246,0.578054036200096,41.98328872419331
bc_spatial120,same_xx,factory_prepolish_deep_stress,8,6,6,8,0,71.81990352482778,0.10438401315370609,1.24809727015232,0.9748151848461746,41.99615598609282
bc_spatial120,same_xx,legacy_stress,8,0,0,8,0,59.207638235574144,0.10999968120834316,1.9264791398382723,1.5557679480334565,40.98036724699982
frozen_champion14,cross_xy,factory_prepolish,8,7,7,8,0,73.70784379544837,0.0873165696932789,0.7736292655282901,0.19672787387910928,42.00416244467229
frozen_champion14,cross_xy,factory_prepolish_deep_defect,8,7,7,8,0,72.4076315692028,0.10242795374673969,0.9986470048399078,0.5663179492025049,42.004278567472944
frozen_champion14,cross_xy,factory_prepolish_deep_stress,8,7,7,8,0,72.03236636608632,0.10551444121093344,1.2467406975212383,0.959597038068968,42.00427190104305
frozen_champion14,cross_xy,legacy_stress,8,0,0,8,0,63.2543730727312,0.13662301223627232,2.0147128390652154,1.4237839329600923,41.034120999024445
frozen_champion14,same_xx,factory_prepolish,8,7,7,8,0,73.70842036774786,0.08784981509275225,0.7740509827615124,0.19591415220097497,42.00179856811342
frozen_champion14,same_xx,factory_prepolish_deep_defect,8,7,7,8,0,72.39078312995903,0.10215548382758308,1.003102621553686,0.566815771157285,42.00170710858724
frozen_champion14,same_xx,factory_prepolish_deep_stress,8,7,7,8,0,72.01984796368502,0.10549771282796248,1.2514460928336666,0.9581488440458772,42.00169350260127
frozen_champion14,same_xx,legacy_stress,8,0,0,8,0,63.250051097398604,0.1379870287703485,2.0176130844943936,1.4235392301727903,41.03885669607084
