policy_label,direction_mode,surface_profile,profile_seed,policy_outcome,champion_outcome,policy_safety_ok,champion_safety_ok,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um
bc_base14,cross_xy,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,-0.004969050204167047,-3.0333054026457362e-05,-0.000323532679365357,-0.0005679323571747275,-0.0029749375800705025
bc_global20,cross_xy,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,-0.016831077745820267,-3.2518528986960615e-05,-0.0005731447887755703,-0.0002670257739256221,0.00034847014993744097
bc_spatial120,cross_xy,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,0.18842580605929982,0.003631413475668893,0.01948832884552576,-0.014469444878865978,-0.055442859241281894
bc_base14,cross_xy,factory_prepolish,10097,success,success,True,True,-0.000528701043123192,1.5937744730784575e-05,3.467350441010986e-05,0.0,4.2456008507940624e-05
bc_global20,cross_xy,factory_prepolish,10097,success,success,True,True,0.0005343780993030123,-8.003357641686581e-06,-0.00021290948210006544,0.0,0.00015313111856585238
bc_spatial120,cross_xy,factory_prepolish,10097,success,success,True,True,0.0359196945413629,-0.00033185867105962885,0.002588226367451707,0.0,-0.020298600839765868
bc_base14,cross_xy,factory_prepolish,10194,success,success,True,True,-0.00022764088791404902,1.3272112901432931e-05,6.454410317324744e-07,0.0,4.084526722181181e-05
bc_global20,cross_xy,factory_prepolish,10194,success,success,True,True,0.0003391893600195317,-1.1242111023768153e-05,-6.276747381561698e-05,0.0,-0.00024660940954390753
bc_spatial120,cross_xy,factory_prepolish,10194,success,success,True,True,-0.007484120221405988,-0.00020345371126218037,-0.0002238711707558405,0.0,-0.00729725697947714
bc_base14,cross_xy,factory_prepolish,10291,success,success,True,True,0.009703595300607049,0.00022839952528347363,0.004258794497806195,-0.0015053900438904422,-0.005861615544496601
bc_global20,cross_xy,factory_prepolish,10291,success,success,True,True,-0.0003814169599820616,0.0002511298244256277,0.004675317116104805,-0.0011218556033201765,-0.004878337799880228
bc_spatial120,cross_xy,factory_prepolish,10291,success,success,True,True,0.3112095541648614,0.00024654971029949846,0.017776166873580634,-0.00965428253243461,-0.030746559231602077
bc_base14,cross_xy,factory_prepolish,10388,success,success,True,True,0.00564756570827285,1.1728361279134125e-05,-8.151870244788029e-05,-0.00014401408854086695,0.00035437163505491753
bc_global20,cross_xy,factory_prepolish,10388,success,success,True,True,0.012768048038836355,4.2557132581763635e-05,-0.00010116608727206433,-0.00025096121004480887,0.0006133551810236781
bc_spatial120,cross_xy,factory_prepolish,10388,success,success,True,True,1.2165244015032641,-0.006928363503461085,-0.012380182524304617,-0.043978359585502724,-0.12451634576407145
bc_base14,cross_xy,factory_prepolish,10485,success,success,True,True,0.02276881541232001,-3.4656421292147965e-05,0.00011119809942572445,-0.001289469373644353,-0.0027172695909030153
bc_global20,cross_xy,factory_prepolish,10485,success,success,True,True,0.033948713522221396,-5.898964237545379e-05,0.0001571384374592366,-0.0019477033198647686,-0.0033844144104904217
bc_spatial120,cross_xy,factory_prepolish,10485,success,success,True,True,0.42567075517033004,0.006436281212431227,0.01995300452284332,-0.0492009618726334,-0.12066887298782802
bc_base14,cross_xy,factory_prepolish,10582,success,success,True,True,-0.3051883544708289,0.0005753754250149984,0.0009157588384074433,0.01606831894784494,0.0007427055453632647
bc_global20,cross_xy,factory_prepolish,10582,success,success,True,True,-0.4111827419639127,0.0009603039736251623,0.002138522610525606,0.02023383306004778,0.0002130669898079418
bc_spatial120,cross_xy,factory_prepolish,10582,success,success,True,True,0.27106158473047515,-0.0014390323428032092,-0.0021649171925466337,0.00707759369199723,-0.02381122982692574
bc_base14,cross_xy,factory_prepolish,10679,success,success,True,True,-0.0016509756248552776,2.5772762017275963e-05,9.845136531172471e-05,0.0,0.00029302139736842037
bc_global20,cross_xy,factory_prepolish,10679,success,success,True,True,0.0036552535870129077,-6.199965947721597e-05,-0.00045856518655496004,0.0,-0.00043484069043842055
bc_spatial120,cross_xy,factory_prepolish,10679,success,success,True,True,-0.04771207866046723,0.0005424917696767728,0.0030321669594775003,0.0,0.0037834278287789402
bc_base14,cross_xy,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,-0.012041829125621462,-0.0010350534296444946,0.0010739152170504696,0.002809842155608533,-0.0031469698536028545
bc_global20,cross_xy,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,-0.07086111507426551,-0.008236381672625581,-0.00939127730748579,0.04010966753257361,-0.0007216294867689044
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,0.007641377552360495,0.0001960869862402681,0.024010905469976418,0.015943794207173623,-0.028747683203889096
bc_base14,cross_xy,factory_prepolish_deep_defect,10097,success,success,True,True,-0.002836806749940024,-0.0002472073715668738,-0.00042444201980007534,0.0013205582985549302,0.00031411474177645005
bc_global20,cross_xy,factory_prepolish_deep_defect,10097,success,success,True,True,-0.10076680577509478,-0.008485487715735068,-0.02907903489238306,0.026331325859925925,0.00023098337377547296
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10097,success,success,True,True,-0.08831605806523157,-0.001289082856748544,-0.006394258143661791,0.010153633324642475,0.011072974708163486
bc_base14,cross_xy,factory_prepolish_deep_defect,10194,success,success,True,True,-0.04927649061076522,-0.008499040488142692,-0.021896025860863255,0.038372813032192865,0.010614957842065564
bc_global20,cross_xy,factory_prepolish_deep_defect,10194,success,success,True,True,-0.13958456621811877,-0.011591777102644182,-0.03258533222924076,0.07486656512405276,0.016550217940100254
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10194,success,success,True,True,0.06531443319664731,-0.008861942482327967,-0.05215101430804203,-0.01725763785447021,-0.05089602218211553
bc_base14,cross_xy,factory_prepolish_deep_defect,10291,success,success,True,True,-0.019000725280221786,-0.0008016868332890309,-0.00013665521687022952,0.0010820724767073298,-0.006265663031406632
bc_global20,cross_xy,factory_prepolish_deep_defect,10291,success,success,True,True,-0.1797542163385515,-0.006989428325469088,-0.021673223758995608,0.019846373718891197,0.00014681706024077812
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10291,success,success,True,True,-0.778763041751489,-0.01165035832819833,-0.044870111854189876,0.05051046176238905,0.035137322570449214
bc_base14,cross_xy,factory_prepolish_deep_defect,10388,success,success,True,True,0.0062463487270605356,-0.00020767063237273065,-0.001321535149704678,0.0001823571311134753,0.0005173930949169403
bc_global20,cross_xy,factory_prepolish_deep_defect,10388,success,success,True,True,0.012732384698807664,-0.0007837197289117526,-0.0039377880484705585,0.0008036505629428481,0.0004779433971009439
