region_id,target_cells,target_area_m2,i_min,i_max,j_min,j_max,path_points,path_length_m,changed_cells,rework_affected_locked_cells,barrier_hit,plan_state,nominal_time_s
1,79,0.000316,6,18,67,77,2,0.01999999999999999,2204,2125,False,READY_CPU_ONLY,7.999999999999998
2,136,0.000544,42,62,17,24,4,0.052,3181,3045,False,READY_CPU_ONLY,12.0
