shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
control,cylinder,cross_xy,factory_prepolish,1,41000,success,True,True,False,False,False,3427,3327,0,11.381546020507812,48.528404235839844,0.513167812663715,0.513167812663715,-0.069412621049586,-0.069412621049586,0.0,1.0,1.0,72.64944658942865,75.7792307131991,0.10204508373711749,0.09461020715634617,0.8052971899065311,0.8619396347832724,0.38106102838155587,0.26062236361955293,41.047429671863,29.196886947839857,98.65,98.65,80.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.65,98.65,80.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.87,98.87,83.25,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.87,98.87,83.25,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,41000,success,True,True,False,False,False,3618,3518,0,10.172855377197266,48.52824401855469,0.544871034678288,0.544871034678288,-0.17186179361936793,-0.17186179361936793,0.0,1.0,1.0,70.56096003979579,74.67478913574799,0.10317968719405735,0.10230256543977995,0.9463934815775794,1.0316594339946998,0.6843423906818914,0.4942229953276185,41.04806745090235,29.216821715560567,97.37,97.37,79.25,87.3,99.89,99.89,97.75,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,97.37,97.37,79.25,87.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.88,97.88,82.5,90.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.88,97.88,82.5,90.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,41000,success,True,True,False,False,False,3623,3523,0,13.528372764587402,48.52824401855469,0.5457046849911725,0.5457046849911725,-0.1744200265949647,-0.1744200265949647,0.0,1.0,1.0,70.28287104118675,74.32598669304193,0.10403775627132578,0.10403956529306647,1.1192464705336993,1.2083859645884214,1.1114349883086923,0.8902368502579078,41.04760012292692,29.218531822855073,97.37,97.37,79.25,87.3,99.48,99.48,90.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,97.37,97.37,79.25,87.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.65,97.65,79.25,89.25,99.76,99.76,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.65,97.65,79.25,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,legacy_stress,0,41000,fail_max_passes,False,True,False,False,False,5304,5204,0,10.770506858825684,48.528404235839844,0.8665630830140001,0.8665630830140001,-0.7528690764993755,-0.7528690764993755,0.0,1.0,1.0,55.23308562024551,63.409344191075235,0.11432725748677881,0.11828041558865521,2.140732310668287,2.014349359745743,1.7479251101515358,1.5998440469730542,41.87429261023378,29.90814346630052,83.24000000000001,83.24,48.5,57.95,93.62,93.62,63.24999999999999,78.8,100.0,100.0,100.0,100.0,99.44,99.44,96.5,97.95,83.24000000000001,83.24,48.5,57.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.36,84.36,51.24999999999999,59.85,95.16,95.16,65.75,84.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.36,84.36,51.24999999999999,59.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
