candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z,link6_axis_x,link6_axis_y,link6_axis_z,pad_outward_axis_x,pad_outward_axis_y,pad_outward_axis_z,normal_alignment_error_deg,target_quat_x,target_quat_y,target_quat_z,target_quat_w,actual_link6_quat_x,actual_link6_quat_y,actual_link6_quat_z,actual_link6_quat_w,actual_pad_quat_x,actual_pad_quat_y,actual_pad_quat_z,actual_pad_quat_w
gate_f5r_normal_sphere,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.2637546956539154,0.15015508234500885,0.4121742248535156,0.06149999052286148,-0.7062578201293945,-0.016408195719122887,0.7077645659446716,0.9937189817428589,0.11189620941877365,-0.001179814338684082,-0.9937193393707275,-0.11189627647399902,0.0011799037456512451,45.211387634277344,0.9931381940841675,0.0,0.09054240584373474,-0.07401794195175171,-0.09648245573043823,0.7009144425392151,-0.017426224425435066,0.7064744830131531,-0.5677749514579773,0.5079423189163208,0.48330092430114746,0.43133115768432617
gate_f5r_normal_sphere,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.15414494276046753,0.15607646107673645,0.27707087993621826,0.06089998036623001,-0.5235748887062073,-0.0065392316319048405,0.8519545793533325,0.9851146936416626,0.09093429893255234,-0.14587533473968506,-0.9851148724555969,-0.09093427658081055,0.1458756923675537,50.15928649902344,0.9931871294975281,0.0,0.09000633656978607,-0.07401477545499802,-0.1529402881860733,0.7413143515586853,-0.0726543515920639,0.6494486331939697,-0.5673756003379822,0.5755636096000671,0.4728129208087921,0.35108324885368347
gate_f5r_normal_sphere,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.07360827922821045,0.17495431005954742,0.16461506485939026,0.06029997020959854,-0.3893471360206604,0.02492384985089302,0.9207538366317749,0.938161313533783,0.08920556306838989,-0.33450865745544434,-0.9381611347198486,-0.08920550346374512,0.33450862765312195,47.85206604003906,0.9932357668876648,0.0,0.08947034925222397,-0.07401162385940552,-0.18382404744625092,0.7959039211273193,-0.07602614164352417,0.5718092322349548,-0.534313440322876,0.616547703742981,0.5090303421020508,0.27434679865837097
gate_f5r_normal_sphere,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.012948065996170044,0.17310741543769836,0.13259053230285645,0.05969996005296707,-0.2882467806339264,0.02184569276869297,0.9573069214820862,0.9339370727539062,0.09846358001232147,-0.3436077833175659,-0.9339370131492615,-0.09846341609954834,0.34360796213150024,53.41664505004883,0.9932841658592224,0.0,0.08893442898988724,-0.0740085020661354,-0.19141259789466858,0.7969724535942078,-0.07464572042226791,0.568000078201294,-0.5369860529899597,0.6163272857666016,0.5107618570327759,0.2662871778011322
gate_f5r_normal_sphere,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.025264233350753784,0.16150684654712677,0.09647834300994873,0.0590999498963356,-0.22455960512161255,0.0025114109739661217,0.9744571447372437,0.8289438486099243,0.14005786180496216,-0.5415123701095581,-0.8289439082145691,-0.14005768299102783,0.5415126085281372,44.48152542114258,0.9933322072029114,0.0,0.08839858323335648,-0.07400539517402649,-0.21474644541740417,0.8512579798698425,-0.03813616931438446,0.4772728383541107,-0.48933157324790955,0.6288967728614807,0.5749638676643372,0.1856340914964676
gate_f5r_normal_sphere,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.05919349193572998,0.1477542519569397,0.08971866965293884,0.05849993973970413,-0.16801084578037262,-0.020409580320119858,0.9855738282203674,0.730667233467102,0.24580666422843933,-0.6369494199752808,-0.730667233467102,-0.24580657482147217,0.6369495391845703,40.92763900756836,0.9933799505233765,0.0,0.08786281198263168,-0.07400231063365936,-0.25033655762672424,0.869371235370636,0.01880602352321148,0.42564263939857483,-0.47798940539360046,0.6014404892921448,0.6280361413955688,0.12396010756492615
gate_f5r_normal_sphere,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.0906272828578949,0.12825264036655426,0.09848618507385254,0.05789992958307266,-0.11562119424343109,-0.05291226506233215,0.9918830990791321,0.6508569717407227,0.38832661509513855,-0.6523709297180176,-0.6508568525314331,-0.3883265256881714,0.6523707509040833,42.023048400878906,0.9934274554252625,0.0,0.08732710778713226,-0.07399925589561462,-0.29946380853652954,0.8581997752189636,0.08373041450977325,0.4084162414073944,-0.5005465149879456,0.5476324558258057,0.6660453677177429,0.07704116404056549
gate_f5r_normal_sphere,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.11633116006851196,0.09834066033363342,0.11645036935806274,0.05729991942644119,-0.07278139889240265,-0.10276556760072708,0.9920393824577332,0.5858227610588074,0.5342942476272583,-0.609377384185791,-0.5858229398727417,-0.5342943668365479,0.6093777418136597,45.406620025634766,0.9934746026992798,0.0,0.08679147064685822,-0.07399621605873108,-0.36000654101371765,0.8216349482536316,0.14172860980033875,0.4185978174209595,-0.550555944442749,0.4807664155960083,0.6812013983726501,0.04143068194389343
gate_f5r_normal_sphere,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.131434828042984,0.0570833683013916,0.10440579056739807,0.05669990926980972,-0.047608621418476105,-0.1715277135372162,0.9840282797813416,0.4501776695251465,0.5609999299049377,-0.694707989692688,-0.45017775893211365,-0.5610001087188721,0.6947080492973328,36.748287200927734,0.9935214519500732,0.0,0.08625590801239014,-0.07399320602416992,-0.449419766664505,0.8033528923988342,0.14655160903930664,0.36217212677001953,-0.5738816261291504,0.46442872285842896,0.6716843843460083,-0.06169302389025688
gate_f5r_normal_sphere,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.12092089653015137,0.0554206445813179,0.07314598560333252,0.05609989911317825,-0.06513183563947678,-0.17429892718791962,0.9825363755226135,0.1955932080745697,0.5115751624107361,-0.8366804122924805,-0.19559317827224731,-0.5115749835968018,0.8366802930831909,22.485687255859375,0.9935680627822876,0.0,0.08572041988372803,-0.07399021834135056,-0.5692310333251953,0.7709190845489502,0.1541070193052292,0.24064666032791138,-0.572669506072998,0.4361521303653717,0.6540926098823547,-0.2323439121246338
