candidate_id,stage,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction
gate_f5r_normal_sphere,initial,0,0,0.0,0.0,0.10910768001132426,0.4993560007429755,0.09916022389544485,0.4533152639935111,0.0,0.0,0.0,43.94875184819936,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,0,1,0.0,0.0,0.10897881593690886,0.37385912998732007,0.0898096769344624,0.38269575119324706,0.0,0.0,0.0,45.560067653149595,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,0,2,0.0,0.0,0.1056780297274686,0.4422088811324827,0.09001054855178019,0.41505800947151883,0.0,0.0,0.0,46.08657618422225,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,0,3,0.0,0.0,0.09671955854937021,0.415405354617476,0.08895532459311614,0.3917243058235599,0.0,0.0,0.0,45.4346830146236,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,0,4,0.0,0.0,0.09545754761719533,0.4096800538053155,0.07715491350241489,0.3619018223374596,0.0,0.0,0.0,43.95765971591661,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,1,0,0.0,0.0,0.09035820193287869,0.3891320227031647,0.07926153142926794,0.35876631987614616,0.0,0.0,0.0,43.94676180648938,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,1,1,0.0,0.0,0.12145801445498261,0.47547117065266864,0.10290111373303933,0.42750639136540936,0.0,0.0,0.0,44.80531979929404,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,1,2,0.0,0.0,0.10703780081169484,0.45094116996808814,0.08604025990023306,0.37634493838238137,0.0,0.0,0.0,45.18694439947806,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,1,3,0.0,0.0,0.07821187763059559,0.34215747544070446,0.07048677621729507,0.3238151463876777,0.0,0.0,0.0,45.85714984767579,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,1,4,0.0,0.0,0.10034811964463732,0.4252227884541647,0.09034948115680506,0.3804164391902939,0.0,0.0,0.0,45.206132847626435,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,2,0,0.0,0.0,0.10949479320342476,0.40568110103455435,0.09448991854402483,0.36141729173669224,0.0,0.0,0.0,43.37712359645675,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,2,1,0.0,0.0,0.06926670672834515,0.3104753171129484,0.062011372842252735,0.28075851389472617,0.0,0.0,0.0,43.941365564315916,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,2,2,0.0,0.0,0.09242155538853342,0.38697341895674775,0.08232641410604241,0.3621958198328442,0.0,0.0,0.0,44.284262266066854,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,2,3,0.0,0.0,0.10017285419075656,0.4289487574345786,0.08895902193558028,0.3963301585642297,0.0,0.0,0.0,45.485820227672406,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,2,4,0.0,0.0,0.06658366285310308,0.2981070610741564,0.06165655201271508,0.28114260470802255,0.0,0.0,0.0,46.41293203786786,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,3,0,0.0,0.0,0.09786959972252333,0.42671318961804494,0.08422719250128302,0.3847102229939061,0.0,0.0,0.0,43.37213268492907,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,3,1,0.0,0.0,0.0856820316406559,0.35615262135103093,0.06912842683809634,0.30808910941619994,0.0,0.0,0.0,43.869697345558876,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,3,2,0.0,0.0,0.08580128019667489,0.421202643896679,0.07704550420188903,0.3703149759253735,0.0,0.00844993474358522,0.36767048480247766,44.05332998631742,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,3,3,0.0,0.0,0.08141170389544641,0.3608205370951486,0.06934269142459858,0.3462508477229621,0.0,0.0,0.0,45.100632061435526,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,3,4,0.0,0.0,0.0990604345773002,0.508662899027253,0.09296576856302029,0.47384987648439836,0.0,0.0,0.0,47.212737643266394,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,4,0,0.0,0.0,0.0940192566133048,0.4281724600032549,0.08007148998511265,0.3922259292671636,0.0,0.0,0.0,43.89637312911089,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,4,1,0.0,0.0,0.07918342183431076,0.3309341228031696,0.06645214606126867,0.28202704213035584,0.0,0.0,0.0,44.02496614483497,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,4,2,0.0,0.0,0.1195205350241217,0.6101696508444657,0.10702635241283939,0.5561212604143848,0.0,0.04017420602171958,0.4290214107790902,43.96738875591543,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,4,3,0.0,0.0,0.10504119269431093,0.4528956452847377,0.09767599819026877,0.42273101682812864,0.0,0.0,0.0,44.35147850005861,0.0,0.0,0.0
gate_f5r_normal_sphere,initial,4,4,0.0,0.0,0.09862293784269528,0.40804108104313497,0.07826456010061439,0.3583270498562753,0.0,0.0,0.0,46.02707679949502,0.0,0.0,0.0
gate_f5r_normal_sphere,final,0,0,0.08818127987447737,0.04961621035990025,0.09621636317060896,0.444486189414237,0.08870711678092513,0.40773700764669596,0.03662452115626614,0.0,0.0,43.94647627619758,0.9125,0.0,0.3575
gate_f5r_normal_sphere,final,0,1,0.1748547549261793,0.05462191129523659,0.08645999034458665,0.26805278818249056,0.07135716087301715,0.3070931928640783,0.035528689715668305,0.0,0.0,45.32620966030074,0.3825,0.02,0.8625
gate_f5r_normal_sphere,final,0,2,0.18530869855306878,0.03777179029854875,0.07689238678282967,0.32712898536351287,0.06509760289740585,0.30626520892703907,0.01927808305649528,0.0,0.0,45.85045087452629,0.3625,0.0425,1.0
gate_f5r_normal_sphere,final,0,3,0.22058140256930095,0.05222019124045203,0.06616971362029306,0.3007591060662609,0.060389000609122175,0.2763120040711526,0.024386348380501122,0.0,0.0,45.2523124411,0.1925,0.2725,1.0
gate_f5r_normal_sphere,final,0,4,0.1661068137401409,0.04126190484277292,0.07354704641688277,0.32472616208857497,0.058793461221119864,0.2832838801265516,0.025362349965069968,0.0,0.0,43.826815310885884,0.5825,0.04,0.99
gate_f5r_normal_sphere,final,1,0,0.16132464063816168,0.03729568307041,0.06712561937925854,0.3023470537462598,0.06018540152986815,0.28081968040054484,0.024490425811866123,0.0,0.0,43.80028740080502,0.525,0.0,0.9
gate_f5r_normal_sphere,final,1,1,0.22741583588814163,0.06467668502942531,0.0829066825019453,0.33376097575814767,0.06992260049981924,0.29947810637063993,0.03317937687191978,0.0,0.0,44.59365231964632,0.165,0.27,1.0
gate_f5r_normal_sphere,final,1,2,0.2703429033280402,0.054565570121688264,0.06674656793987982,0.2949946640810993,0.05407963326694878,0.2490866143178449,0.021655769031007903,0.0,0.0,44.96129577053463,0.035,0.5925,1.0
gate_f5r_normal_sphere,final,1,3,0.24960644046292388,0.04242624854746218,0.04795842884422697,0.2210440042984873,0.043796426308277375,0.21038161979577014,0.01839503621593015,0.0,0.0,45.673720079254835,0.025,0.4675,1.0
gate_f5r_normal_sphere,final,1,4,0.19537641162219047,0.04220275281225531,0.06647391357284063,0.29311944910469084,0.06027583795665723,0.26449763079550836,0.013555635890565975,0.0,0.0,45.01760484776722,0.3325,0.115,1.0
gate_f5r_normal_sphere,final,2,0,0.19824889448521385,0.04821093875418199,0.07306508309877861,0.28367659424054603,0.06272297819202548,0.25108508248754824,0.0195593428416543,0.0,0.0,43.24507711509021,0.3025,0.1475,1.0
gate_f5r_normal_sphere,final,2,1,0.22999037193535088,0.040314112535726795,0.04312687874804481,0.20002479930763506,0.03858470703702916,0.17985748746801095,0.01408328825385216,0.0,0.0,43.67585995956151,0.02,0.23,1.0
gate_f5r_normal_sphere,final,2,2,0.25904976370315447,0.05615873943919878,0.05893571819330488,0.25373904838352895,0.052507832195366734,0.23779818890060628,0.021291330127238918,0.0,0.0,43.972069098013094,0.0425,0.53,1.0
gate_f5r_normal_sphere,final,2,3,0.24251828938768824,0.051527469984845406,0.06199075096085993,0.278103218072948,0.05591848381874878,0.248290263708001,0.015653324248490436,0.0,0.0,45.22387823103148,0.0925,0.4375,1.0
gate_f5r_normal_sphere,final,2,4,0.2041482932860167,0.03941411545294711,0.043503569133632854,0.19834853682993192,0.04036160001882022,0.1910111727801207,0.02187284205916619,0.0,0.0,46.2854541935293,0.225,0.1475,1.0
gate_f5r_normal_sphere,final,3,0,0.2222069354719062,0.04803102494846966,0.06664421915072906,0.30173580794036764,0.057777257353621554,0.27488907194197393,0.021050945474843576,0.0,0.0,43.21465383010139,0.1725,0.28,1.0
gate_f5r_normal_sphere,final,3,1,0.23893490993888927,0.039588128114644114,0.053924636249391665,0.22974993738475674,0.04304288875146156,0.19725296966503275,0.010115482271171,0.0,0.0,43.57588551982537,0.03,0.415,1.0
gate_f5r_normal_sphere,final,3,2,0.2380817231044835,0.040955241575589725,0.05320649570272146,0.2585708842873421,0.047633484489409635,0.2395057895880073,0.008442219248493846,0.006130759657776161,0.2784021105707787,43.782436056087285,0.0275,0.32,1.0
gate_f5r_normal_sphere,final,3,3,0.2636430018095628,0.04886124437503862,0.050669304244598055,0.22963184991197255,0.043109305477697445,0.22118334066234363,0.014764795608290802,0.0,0.0,44.853690462250185,0.0425,0.57,1.0
gate_f5r_normal_sphere,final,3,4,0.2255882123258414,0.052064939645735754,0.06696101287539,0.35277285984301066,0.06237356935169659,0.323745930806254,0.024565026999714936,0.0,0.0,46.98118374395142,0.16,0.3075,1.0
gate_f5r_normal_sphere,final,4,0,0.1771954802120288,0.04241137857357076,0.06913518107387966,0.32620576248141264,0.058260424708890424,0.29791166378282863,0.021997995153976855,0.0,0.0,43.692157044796865,0.515,0.03,0.9925
gate_f5r_normal_sphere,final,4,1,0.20509942269561787,0.04687477555787104,0.053623659122525445,0.23115513564238843,0.04532885208950628,0.20153722672585006,0.023566491027321355,0.0,0.0,43.734677495466514,0.235,0.18,1.0
gate_f5r_normal_sphere,final,4,2,0.2296536085027384,0.05981774345267032,0.08393067313222356,0.44578208829155497,0.07519796671791391,0.4090580190156098,0.027119680052502138,0.029130283132862908,0.3475302371609773,43.78096754828672,0.19,0.3725,0.9875
gate_f5r_normal_sphere,final,4,3,0.22958298807894878,0.04989864223725147,0.0698229312838901,0.30896551910173253,0.06442810373036031,0.2880286332991019,0.02185038936171313,0.0,0.0,44.21737147717645,0.16,0.3525,1.0
gate_f5r_normal_sphere,final,4,4,0.18654863634302596,0.056501615469182476,0.07095525472097239,0.2968731144916011,0.054646527597367454,0.2558796481951757,0.034972152424930895,0.0,0.0,45.87432940150245,0.425,0.1475,0.9275
