surface_profile,direction_mode,n,success_count,quality_ok_count,safety_ok_count,gu70_count,ra_le_0p20_count,rz_le_2p0_count,scratch_improved_count,profile_gu_mean_mean,roi_total_ra_um_mean,roi_total_rz_um_mean,roi_fine_ra_um_mean,roi_fine_rz_um_mean,roi_removal_mean_um_mean,roi_removal_std_um_mean,roi_removal_cv_mean,roi_removal_waviness_ra_um_mean,roi_removal_waviness_std_um_mean,roi_center_edge_delta_um_mean,roi_center_edge_ratio_mean,roi_coverage_fraction_mean,roi_scratch_max_um_mean,roi_clearcoat_min_um_mean,force_used_mean_n_mean,force_used_max_n_mean,feed_cmd_mean_mm_s_mean,fallback_steps_mean
factory_prepolish,same_xx,4,3,3,4,3,4,4,3,74.13857154514162,0.07899378972850853,0.7479548785921472,0.05112394560408903,0.5389942257168716,0.3197056767375549,0.09381298601805053,0.293404173976731,0.05534454424967656,0.069387497608906,0.10370936230244383,1.3662282047110383,0.9922,0.21264411116425902,41.815609559790275,5.218344330787659,7.325637340545654,15.579878119751811,0.0
factory_prepolish_deep_defect,same_xx,4,3,3,4,3,4,4,4,72.6833708779877,0.11820757263109583,1.1177884379851033,0.04967427457063239,0.6451046255030782,0.4112608989301614,0.18202902296445134,0.4419210787492983,0.0957008642640939,0.16174489943760456,0.13761945375719964,1.3939028805488498,0.992975,0.4561320537608223,41.66866843459726,5.724928259849548,8.143282175064087,13.502364745363593,0.0
factory_prepolish_deep_stress,same_xx,4,3,3,4,3,4,4,4,72.31575326923044,0.13486927612714034,1.4548666238692598,0.05111444018840569,0.8621741279349442,0.4363869851601537,0.21177597983365828,0.48433709060182717,0.1095701348825509,0.19150656512479164,0.15812420197663152,1.420974024640964,0.9929749999999999,0.8286932413240291,41.669946122003665,5.834673166275024,8.1550874710083,13.0540756508708,0.0
