candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z
cylinder_r0p60_cross,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.30637580156326294,0.1253759264945984,0.45606833696365356,0.06149999052286148,-0.7772930264472961,0.0,0.6291387677192688
cylinder_r0p60_cross,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.19996577501296997,0.10314950346946716,0.31469130516052246,0.06089998036623001,-0.5999429821968079,0.0,0.8000427484512329
cylinder_r0p60_cross,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.11335247755050659,0.08209128677845001,0.19129574298858643,0.06029997020959854,-0.4555874764919281,0.0,0.8901910185813904
cylinder_r0p60_cross,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.07781137526035309,0.07480669021606445,0.14700430631637573,0.05969996005296707,-0.39635229110717773,0.0,0.918098509311676
cylinder_r0p60_cross,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.051361605525016785,0.07307089865207672,0.14614835381507874,0.0590999498963356,-0.35226935148239136,0.0,0.9358986616134644
cylinder_r0p60_cross,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.02593982219696045,0.07883891463279724,0.15637025237083435,0.05849993973970413,-0.3098997175693512,0.0,0.9507692456245422
cylinder_r0p60_cross,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.005723446607589722,0.0808759331703186,0.16953161358833313,0.05789992958307266,-0.27620574831962585,0.0,0.9610985517501831
cylinder_r0p60_cross,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.011496692895889282,0.07736695557832718,0.15112122893333435,0.05729991942644119,-0.24750551581382751,0.0,0.9688864946365356
cylinder_r0p60_cross,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.02924865484237671,0.07317662239074707,0.11652278900146484,0.05669990926980972,-0.21791890263557434,0.0,0.9759668707847595
cylinder_r0p60_cross,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.04512503743171692,0.06825225055217743,0.08167409896850586,0.05609989911317825,-0.19145826995372772,0.0,0.9815007448196411
cylinder_r0p60_cross,11,0.5499998331069946,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.058520227670669556,0.06888051331043243,0.061392754316329956,0.05549988895654678,-0.16913294792175293,0.0,0.9855932593345642
cylinder_r0p60_cross,12,0.5999997854232788,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06645777821540833,0.07493901252746582,0.053452521562576294,0.054899878799915314,-0.15590369701385498,0.0,0.9877722859382629
cylinder_r0p60_cross,13,0.649999737739563,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06850528717041016,0.07512892037630081,0.05161672830581665,0.054299868643283844,-0.15249118208885193,0.0,0.988304853439331
cylinder_r0p60_cross,14,0.6999996900558472,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06905290484428406,0.0743090957403183,0.050897449254989624,0.053699858486652374,-0.15157848596572876,0.0,0.9884452223777771
cylinder_r0p60_cross,15,0.7499996423721313,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06953239440917969,0.07347662001848221,0.05030527710914612,0.053099848330020905,-0.1507793366909027,0.0,0.9885674715042114
cylinder_r0p60_cross,16,0.7999995946884155,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06880044937133789,0.07252222299575806,0.049981892108917236,0.052499838173389435,-0.15199925005435944,0.0,0.9883806109428406
cylinder_r0p60_cross,17,0.8499995470046997,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06797263026237488,0.07197931408882141,0.04969802498817444,0.051899828016757965,-0.1533789485692978,0.0,0.9881674647331238
cylinder_r0p60_cross,18,0.8999994993209839,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06773132085800171,0.07173652946949005,0.049259305000305176,0.051299817860126495,-0.15378113090991974,0.0,0.9881049394607544
cylinder_r0p60_cross,19,0.9499994516372681,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06792941689491272,0.07163150608539581,0.048717200756073,0.050699807703495026,-0.15345096588134766,0.0,0.988156259059906
cylinder_r0p60_cross,20,0.9999994039535522,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06836548447608948,0.07158611714839935,0.048131078481674194,0.050099797546863556,-0.15272419154644012,0.0,0.9882688522338867
cylinder_r0p60_cross,21,1.0499993562698364,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06891468167304993,0.07156672328710556,0.047530025243759155,0.049499787390232086,-0.15180885791778564,0.0,0.9884098768234253
cylinder_r0p60_cross,22,1.0999993085861206,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06951385736465454,0.07155852019786835,0.04692515730857849,0.048899777233600616,-0.15081024169921875,0.0,0.9885627031326294
cylinder_r0p60_cross,23,1.1499992609024048,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07013431191444397,0.07155543565750122,0.04631975293159485,0.04829976707696915,-0.1497761458158493,0.0,0.9887199401855469
cylinder_r0p60_cross,24,1.199999213218689,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07076343894004822,0.07155423611402512,0.04571440815925598,0.04769975692033768,-0.14872759580612183,0.0,0.9888781905174255
cylinder_r0p60_cross,25,1.2499991655349731,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.0713961124420166,0.07155418395996094,0.045109301805496216,0.04709974676370621,-0.14767314493656158,0.0,0.9890362024307251
cylinder_r0p60_cross,26,1.2999991178512573,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07203015685081482,0.07155430316925049,0.044504404067993164,0.04649973660707474,-0.1466163992881775,0.0,0.9891934394836426
cylinder_r0p60_cross,27,1.3499990701675415,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07266479730606079,0.07155454903841019,0.043899744749069214,0.04589972645044327,-0.1455586701631546,0.0,0.9893496036529541
cylinder_r0p60_cross,28,1.3999990224838257,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07329943776130676,0.07155497372150421,0.043295085430145264,0.0452997162938118,-0.1445009410381317,0.0,0.9895046353340149
cylinder_r0p60_cross,29,1.4499989748001099,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07393446564674377,0.07155518233776093,0.04269057512283325,0.04469970613718033,-0.1434425562620163,0.0,0.9896586537361145
cylinder_r0p60_cross,30,1.499998927116394,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07456934452056885,0.0715557336807251,0.04208558797836304,0.04409969598054886,-0.14238442480564117,0.0,0.9898114204406738
cylinder_r0p60_cross,31,1.5499988794326782,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07520431280136108,0.07155612111091614,0.04148086905479431,0.04349968582391739,-0.1413261443376541,0.0,0.9899631142616272
cylinder_r0p60_cross,32,1.5999988317489624,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07583922147750854,0.0715567022562027,0.04087609052658081,0.04289967566728592,-0.1402679681777954,0.0,0.9901135563850403
cylinder_r0p60_cross,33,1.6499987840652466,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07647410035133362,0.0715571790933609,0.04027140140533447,0.04229966551065445,-0.1392098367214203,0.0,0.9902629256248474
