rail,segments,waypoints,path_length_m,reversals,polish_s,turn_s,rail_move_s,approach_retract_s,coarse_total_s
C,14,662,35.38051291361463,174,2785.8671585523325,104.4,19.129381900298522,70.0,2979.396540452631
SL,12,925,32.09016827683679,214,2526.784903687937,128.4,14.274020217471655,60.0,2729.458923905409
SR,12,911,31.34090376759137,204,2467.7876982355406,122.39999999999999,14.211908963423541,60.0,2664.399607198964
