arm,waypoints,force_min_n,force_max_n,feed_min_mm_s,feed_max_mm_s,force_saturation_fraction,projected_polish_s_C,projected_polish_s_SL,projected_polish_s_SR,finite,projected_parallel_total_s,projected_parallel_total_h,parallel_time_ratio_vs_control
control,2498,6.0,8.0,12.7,12.7,1.0,2785.867158552335,2526.784903687939,2467.787698235539,True,2897.175418984618,0.8047709497179494,1.0000000000000009
curvature_derating,2498,3.5,7.997761244281515,6.35,12.69935418889916,0.0,3752.6952205516627,3673.676315207955,3579.674885701043,True,3864.003480983946,1.0733343002733182,1.3337140221692818
slew_softstart,2498,2.0999999999999996,8.0,6.35,12.7,0.6273018414731786,4050.909797559188,3511.048598010853,3453.703333324574,True,4162.218057991471,1.1561716827754087,1.436646890870771
combined,2498,2.0,7.997761244281515,6.35,12.69935418889916,0.0,4253.319233979203,3791.6348032519027,3696.45727823439,True,4364.627494411487,1.212396526225413,1.5065112957299545
bounded_residual_interface,2498,2.0000116488019204,8.0,6.35,12.7,0.4247397918334668,4051.2908361499244,3698.0023160466394,3613.123628287455,True,4162.5990965822075,1.156277526828391,1.4367784115885844
